lnc	gene	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000245532	ENSG00000151651	-0.1512927	0.371401	0.004323521	0.9873212	0.1969038	0.4818191
ENSG00000251562	ENSG00000163638	-0.1810204	0.28363	-0.2280714	0.3955678	0.5259711	0.0440205
ENSG00000268388	ENSG00000163638	0.007261426	0.9659773	0.2604369	0.3299596	-0.07185795	0.7991181
ENSG00000255717	ENSG00000091542	0.3344578	0.04304366	0.1378433	0.6106903	-0.4330475	0.1068762
ENSG00000125462	ENSG00000091542	0.3677155	0.02515246	0.4057746	0.118899	-0.2581733	0.3528673
ENSG00000251562	ENSG00000176248	0.2102611	0.211632	0.07858749	0.7723535	0.0671446	0.8120698
ENSG00000245532	ENSG00000176248	0.1157859	0.4949698	0.2793292	0.2947663	-0.1222981	0.6641411
ENSG00000268388	ENSG00000196510	-0.06828832	0.6879828	0.4374601	0.09016401	-0.1703962	0.5437474
ENSG00000245694	ENSG00000196510	0.481421	0.002555874	0.4166812	0.1083735	0.3274376	0.2335207
ENSG00000130600	ENSG00000214274	0.03013377	0.8594727	0.006472518	0.9810202	0.04855558	0.8635631
ENSG00000245532	ENSG00000214274	-0.03407329	0.841321	-0.2465521	0.3572942	0.1000007	0.7228955
ENSG00000245694	ENSG00000214274	0.1423795	0.400555	-0.08271618	0.7607106	0.5848607	0.02201642
ENSG00000245694	ENSG00000167772	0.3349625	0.04271064	-0.1943539	0.4707398	0.07668307	0.7859094
ENSG00000245532	ENSG00000163126	0.03965924	0.815723	0.4587744	0.07387043	0.3832234	0.1585473
ENSG00000245694	ENSG00000011426	0.6826081	3.255919e-06	0.6130126	0.01157031	0.292318	0.2904017
ENSG00000268388	ENSG00000011426	-0.1226155	0.469694	0.4934515	0.05208865	0.05774209	0.8380393
ENSG00000251562	ENSG00000011426	-0.1666849	0.3241206	-0.1354298	0.6170114	0.1597773	0.5694884
ENSG00000251562	ENSG00000136938	-0.2265769	0.17749	-0.1997774	0.458199	0.1578106	0.5743112
ENSG00000245532	ENSG00000042753	-0.2710598	0.1046439	0.01421299	0.9583356	0.07343679	0.7947903
ENSG00000251562	ENSG00000042753	-0.2161392	0.1988451	-0.2328236	0.3855226	-0.02687502	0.9242571
ENSG00000177410	ENSG00000169083	-0.01449887	0.9321258	-0.1954363	0.4682234	-0.4108413	0.1281989
ENSG00000255717	ENSG00000169083	-0.03885977	0.8193758	-0.3215942	0.2245097	-0.2517928	0.365308
ENSG00000197989	ENSG00000169083	0.04929456	0.7720215	0.03738264	0.8906768	-0.3000738	0.2771928
ENSG00000251562	ENSG00000198826	-0.194751	0.2480635	-0.1577238	0.559631	0.1641159	0.5589097
ENSG00000245694	ENSG00000198826	0.7921056	5.216872e-09	0.4575826	0.07472052	0.2027237	0.4686924
ENSG00000245532	ENSG00000241685	-0.2001489	0.2349373	0.01882387	0.9448359	0.4967213	0.05962332
ENSG00000268388	ENSG00000241685	0.1166565	0.4917098	0.02858847	0.9162978	-0.02231702	0.9370772
ENSG00000251562	ENSG00000241685	-0.1168554	0.4909663	-0.2977031	0.262779	0.4369666	0.1033873
ENSG00000251562	ENSG00000130429	-0.20209	0.2303343	-0.1910802	0.4783898	0.3322316	0.2263401
ENSG00000245532	ENSG00000130429	-0.001351321	0.9936668	-0.01683476	0.9506581	0.588442	0.02102328
ENSG00000245532	ENSG00000148331	-0.1113601	0.5117124	0.09040076	0.7391696	-0.4117939	0.127229
