lnc	gene	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000268388	ENSG00000175899	0.7891961	1.148309e-28	0.6564332	1.31156e-18	0.8234033	4.9035e-34
ENSG00000251562	ENSG00000175899	-0.1199275	0.1758168	0.07016437	0.410071	-0.01707055	0.8453749
ENSG00000251562	ENSG00000094914	0.1226168	0.1662564	0.06393188	0.4529907	-0.07789294	0.3728322
ENSG00000245532	ENSG00000094914	0.09936124	0.2625786	0.09403601	0.2691056	-0.08512617	0.3299445
ENSG00000245694	ENSG00000109576	0.113378	0.2007838	0.2848273	0.0006476315	0.1704179	0.04985866
ENSG00000268388	ENSG00000167972	-0.003285894	0.970519	0.05499673	0.5186779	0.1793653	0.03884731
ENSG00000245532	ENSG00000197150	-0.08596748	0.3326979	0.02953025	0.72908	0.006809671	0.9379931
ENSG00000268388	ENSG00000108846	0.05623366	0.5267493	0.2052333	0.01499355	-0.03032066	0.7290016
ENSG00000245532	ENSG00000108846	0.2119609	0.01588937	0.4023205	8.329332e-07	0.02943558	0.7366174
ENSG00000245694	ENSG00000108846	-0.02755192	0.7566046	0.1231976	0.1470154	0.02853215	0.7444174
ENSG00000245694	ENSG00000069431	-0.03982752	0.6540604	-0.09319908	0.2734091	-0.01381081	0.8746317
ENSG00000251562	ENSG00000069431	-0.164061	0.06319076	0.06890842	0.4185222	0.2091342	0.0156979
ENSG00000268388	ENSG00000136379	-0.1713677	0.05216037	-0.1332547	0.1165167	-0.005265702	0.9520328
ENSG00000245694	ENSG00000143322	0.01316812	0.8822546	-0.02194063	0.7969406	0.1357	0.1193733
ENSG00000251562	ENSG00000143322	-0.07691162	0.3863094	0.1748561	0.03879799	0.3916405	3.137868e-06
ENSG00000245532	ENSG00000100813	0.2687657	0.002071728	0.2198003	0.009070464	0.04328713	0.6207898
ENSG00000251562	ENSG00000100813	0.4315668	3.286004e-07	0.157956	0.06233249	0.01782201	0.8386587
ENSG00000268388	ENSG00000144476	0.1402919	0.1127952	-0.007688701	0.9281604	0.07504544	0.3906119
ENSG00000268388	ENSG00000177465	-0.1171035	0.1862861	-0.08180511	0.3366202	0.07177347	0.4116586
ENSG00000268388	ENSG00000197142	-0.001575659	0.9858607	-0.07350944	0.3880572	0.01787568	0.8381795
ENSG00000268388	ENSG00000107796	0.6809115	6.803526e-19	0.6068847	1.895657e-15	0.815643	6.259592e-33
ENSG00000251562	ENSG00000107796	-0.183864	0.03699819	-0.006078719	0.9431748	-0.02726444	0.7554063
ENSG00000245532	ENSG00000075624	-0.1812742	0.03979169	-0.1537663	0.06969643	-0.1617269	0.06291624
ENSG00000268388	ENSG00000075624	0.03110108	0.7264237	0.2389091	0.004472577	0.1265308	0.146699
ENSG00000268388	ENSG00000072110	0.1658633	0.06030706	0.4101213	4.846548e-07	0.3495789	3.71728e-05
ENSG00000245532	ENSG00000130402	-0.1499804	0.08979521	-0.1516304	0.07371376	-0.08746953	0.3167561
ENSG00000251562	ENSG00000130402	-0.1805092	0.04064998	-0.06263278	0.4622426	-0.06236375	0.4757719
ENSG00000268388	ENSG00000138107	0.100302	0.2580642	0.1593864	0.05996905	0.06824173	0.4351062
ENSG00000245694	ENSG00000138107	0.01520745	0.8641828	0.04511461	0.5966063	0.1667367	0.05508559
ENSG00000268388	ENSG00000115170	0.06854952	0.4401717	0.3012753	0.0002978141	0.1017613	0.2438088
ENSG00000251562	ENSG00000135503	0.1814994	0.03954203	0.009716182	0.909289	-0.001732484	0.9842098
ENSG00000251562	ENSG00000139567	-0.1492492	0.09138925	0.177001	0.03643179	-0.08093402	0.354401
ENSG00000245694	ENSG00000196839	-0.02083212	0.8147289	-0.09210175	0.2791216	0.03634717	0.6778809
ENSG00000245694	ENSG00000148848	-0.03260553	0.7137528	-0.09780839	0.2502808	0.02674668	0.7599086
ENSG00000268388	ENSG00000114948	-0.005543611	0.9502834	0.1859068	0.02786608	-0.05724702	0.5127833
ENSG00000251562	ENSG00000151388	-0.269641	0.002000418	-0.04032457	0.6361835	0.1643137	0.05876634
ENSG00000245694	ENSG00000087116	-0.01436243	0.8716631	-0.07771672	0.3614037	-0.07337748	0.401259
ENSG00000268388	ENSG00000087116	0.2688583	0.002064076	0.07945028	0.3507599	0.04370776	0.6173967
ENSG00000268388	ENSG00000154736	0.2829713	0.001156768	0.2838869	0.0006761046	0.1647497	0.05808945
ENSG00000251562	ENSG00000163638	-0.03532555	0.691043	0.2707779	0.001212882	0.1375952	0.1142517
ENSG00000268388	ENSG00000163638	0.5286424	1.19926e-10	0.434985	7.851096e-08	0.564838	1.423049e-12
ENSG00000245694	ENSG00000143382	-0.06439905	0.4684113	-0.3039272	0.0002616068	-0.1753929	0.04345426
ENSG00000245532	ENSG00000143382	0.05999286	0.4994443	-0.04038621	0.6356674	-0.006625549	0.9396664
ENSG00000251562	ENSG00000184060	-0.1951163	0.02670058	0.695959	1.372037e-21	-0.03796206	0.6644165
ENSG00000268388	ENSG00000184060	0.1785704	0.04289482	0.5369201	8.001141e-12	0.0360568	0.6803129
