lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000251562	ENSG00000175899	-0.07133155	0.3386155	-0.04317692	0.2834694	-0.03405074	0.5928136	0.1060858	0.6562174
ENSG00000251562	ENSG00000141338	-0.01739119	0.815745	0.03748282	0.3518515	0.04642153	0.4658629	0.3908351	0.08840623
ENSG00000251562	ENSG00000139567	-0.1560391	0.03542372	-0.08870462	0.0273255	-0.08745314	0.1689205	0.02638429	0.9120801
ENSG00000245532	ENSG00000129467	0.08085323	0.2779075	0.08883765	0.02709414	0.2484221	7.413604e-05	-0.08672706	0.7161809
ENSG00000251562	ENSG00000129467	0.01326107	0.8589768	-0.01961219	0.6262539	-0.03068797	0.6298593	-0.0839816	0.7248257
ENSG00000251562	ENSG00000162618	-0.1382693	0.0626801	-0.07723206	0.05479519	-0.02985391	0.6391977	0.03827124	0.8727301
ENSG00000251562	ENSG00000130706	-0.2126262	0.003954775	-0.13022	0.001165773	-0.09394769	0.1393324	-0.02606055	0.913155
ENSG00000245532	ENSG00000130706	-0.179226	0.01548356	-0.09980259	0.01298262	-0.1059363	0.09532935	0.007024815	0.9765509
ENSG00000245694	ENSG00000106546	0.01461833	0.8447169	0.07438305	0.06439275	0.1357853	0.03220923	-0.01816868	0.9393977
ENSG00000251562	ENSG00000106546	-0.09919933	0.1827484	0.03556285	0.3770826	0.03562029	0.5758696	0.2614094	0.2655876
ENSG00000245694	ENSG00000131016	-0.06640233	0.3731289	-0.00819715	0.8387177	0.1333514	0.0354602	0.03204829	0.8933002
ENSG00000245694	ENSG00000165092	-0.1372286	0.06470238	-0.1412755	0.000422707	0.03258566	0.6088318	-0.02686341	0.9104896
ENSG00000249249	ENSG00000091542	0.03673467	0.6224864	0.1651219	3.655314e-05	0.1689042	0.007560994	0.4012322	0.07953899
ENSG00000223653	ENSG00000091542	-0.1715917	0.02054981	0.04586781	0.2545068	-0.03857917	0.5445603	-0.09984604	0.6753456
ENSG00000125462	ENSG00000091542	0.06465958	0.3858306	0.004095741	0.9189985	0.04254594	0.5039497	0.1846109	0.4358748
ENSG00000251562	ENSG00000139211	-0.06424999	0.3888535	-0.01782251	0.6580856	-0.0008265752	0.9896457	0.3626586	0.1160715
ENSG00000251562	ENSG00000240038	0.01702546	0.819553	0.1538969	0.0001209984	0.08990102	0.1572616	0.4686353	0.0371428
ENSG00000251562	ENSG00000166839	0.08759233	0.2396729	0.1378074	0.0005858236	0.1041649	0.1010286	0.1994527	0.3991924
ENSG00000245532	ENSG00000166839	0.1367169	0.06571616	0.2467692	4.857592e-10	0.2904496	3.146351e-06	0.3154875	0.1754296
ENSG00000251562	ENSG00000189045	0.4446621	3.203291e-10	0.4833506	1.478262e-37	0.236829	0.0001618815	0.4284131	0.0594841
ENSG00000251562	ENSG00000254996	0.6156229	2.287357e-20	0.7829502	2.614973e-129	0.6349449	1.654887e-29	0.7916509	3.206139e-05
ENSG00000245694	ENSG00000011426	-0.09992904	0.1795344	-0.1279697	0.001420064	-0.1546315	0.01458693	0.2254892	0.3391353
