lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000245694	ENSG00000204574	0.01835209	0.8758144	0.01222192	0.8720991	0.1383708	0.1193203	-0.07953639	0.5321409
ENSG00000268388	ENSG00000011198	0.1771216	0.1284603	0.1140021	0.1319265	0.2371139	0.007041698	0.09228421	0.4682848
ENSG00000268388	ENSG00000196177	0.07877588	0.5017073	-0.07178249	0.343772	0.1763772	0.04642083	0.07776439	0.5413454
ENSG00000251562	ENSG00000107897	-0.1319801	0.2590121	0.1547647	0.04027382	0.08293747	0.3519931	-0.04861338	0.7028563
ENSG00000245694	ENSG00000205336	0.1777928	0.1269958	0.05322594	0.4829362	0.192058	0.0298682	0.02397855	0.8508181
ENSG00000268388	ENSG00000205336	0.08133798	0.4878533	0.06539329	0.3885325	0.1052125	0.2372254	0.08501143	0.5041987
ENSG00000251562	ENSG00000170214	-0.04844223	0.6798131	-0.07348602	0.3324122	-0.0917552	0.3029711	-0.01772814	0.889418
ENSG00000251562	ENSG00000141385	-0.1863557	0.1094126	0.07174996	0.3439913	-0.02712795	0.7611562	-0.04806397	0.7060611
ENSG00000245694	ENSG00000011243	0.1972719	0.08980157	-0.000370502	0.9961061	0.1840629	0.03754291	-0.1230976	0.3325135
ENSG00000245532	ENSG00000011243	-0.01866918	0.8736861	-0.04681337	0.5372594	-0.04527561	0.6118247	-0.09647923	0.4482155
ENSG00000268388	ENSG00000011243	0.2028413	0.08092464	0.02452875	0.7465888	0.08394205	0.3461704	0.04877583	0.7019096
ENSG00000251562	ENSG00000187134	0.07503952	0.5222706	0.03426635	0.651638	0.01518523	0.8649112	-0.007132152	0.9553949
ENSG00000245694	ENSG00000109107	-0.1676738	0.1504594	-0.08398568	0.2677686	-0.1406338	0.1133391	-0.07216103	0.5709521
ENSG00000251562	ENSG00000109107	-0.1649099	0.1573985	0.003779258	0.9602974	-0.009470576	0.9155041	-0.07274585	0.5678272
ENSG00000268388	ENSG00000109107	0.03144543	0.7888396	-0.1289979	0.08795359	-0.2231733	0.01133591	0.08406202	0.5089893
ENSG00000251562	ENSG00000172932	-0.1394264	0.2328597	-0.1042401	0.1685738	-0.01152242	0.897289	0.03617539	0.7765697
ENSG00000245532	ENSG00000172932	-0.09582499	0.413463	-0.0552673	0.4662855	0.04129418	0.6435043	0.03255472	0.7984354
ENSG00000245532	ENSG00000163126	0.332251	0.003588142	0.1939417	0.009904968	0.1030947	0.2468517	0.1577991	0.2130099
ENSG00000245532	ENSG00000143412	-0.08500845	0.4683638	-0.07331305	0.3335545	-0.03791253	0.6709268	-0.09079703	0.4755143
ENSG00000268388	ENSG00000053770	0.1775266	0.1275752	0.04254433	0.5750385	0.1997719	0.02376979	0.08291087	0.514829
ENSG00000251562	ENSG00000166313	-0.01005958	0.9317388	-0.09672596	0.2015783	0.1086064	0.2223511	-0.06367161	0.6171869
ENSG00000251562	ENSG00000100342	-0.1781532	0.1262148	-0.04903412	0.5181079	-0.01528791	0.8640065	-0.0861843	0.4983127
ENSG00000251562	ENSG00000221963	0.09572191	0.4139679	0.1745043	0.02053825	0.2820941	0.001255328	0.09977274	0.4327993
ENSG00000228223	ENSG00000169083	0.2040344	0.07911686	0.1957623	0.009219188	0.2739217	0.001755594	0.1751044	0.1663754
ENSG00000258655	ENSG00000169083	0.1675592	0.1507426	-0.01538296	0.8394197	0.04101404	0.6457585	0.1411946	0.2657598
ENSG00000176124	ENSG00000169083	0.2291482	0.04797961	-0.01674955	0.8253728	0.09686566	0.276719	0.005383553	0.9663234
ENSG00000227848	ENSG00000169083	-0.1678527	0.1500183	-0.01888712	0.8035133	-0.1605943	0.07016161	0.06742464	0.5965494
ENSG00000254389	ENSG00000169083	-0.07244284	0.5368071	0.001275117	0.9865995	-0.07491195	0.4006844	-0.05647872	0.6575642
ENSG00000245532	ENSG00000143862	-0.2919928	0.01102466	-0.1997753	0.007853932	-0.113917	0.200421	-0.214951	0.08806076
ENSG00000251562	ENSG00000104763	-0.08102367	0.4895419	-0.04732396	0.5328251	0.1302979	0.1426624	0.2463388	0.04973658
ENSG00000251562	ENSG00000213676	-0.3068246	0.007418248	-0.1510853	0.04532823	-0.2481812	0.004733402	-0.2361984	0.06024071
ENSG00000245694	ENSG00000168397	-0.1164249	0.3198714	-0.1315605	0.08177402	-0.03990491	0.6547148	-0.01080876	0.9324456
ENSG00000268388	ENSG00000168397	0.06752509	0.564872	-0.04548039	0.5489218	-0.1238059	0.1638237	-0.07388335	0.5617722
ENSG00000251562	ENSG00000147416	-0.1351575	0.2476187	-0.07642357	0.3133949	0.1081371	0.2243674	0.4747815	7.374512e-05
ENSG00000268388	ENSG00000147416	-0.01263206	0.9143418	0.04181333	0.5816304	0.1002183	0.2603541	0.08929608	0.4828708
ENSG00000268388	ENSG00000081923	-0.05710294	0.6265296	-0.01384552	0.8552834	0.09532573	0.284463	0.1454623	0.2514332
ENSG00000245694	ENSG00000081923	0.2692715	0.01948501	0.08075054	0.286702	0.04416718	0.6205759	-0.0631388	0.6201413
ENSG00000245694	ENSG00000054793	0.3313324	0.003687472	0.05556003	0.4639239	0.06213271	0.4859723	-0.02887438	0.8208207
ENSG00000245532	ENSG00000054793	0.2381977	0.03959711	0.06646175	0.3808118	-0.1326129	0.1356402	-0.08500909	0.5042105
