lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000245694	ENSG00000011243	0.7109241	6.801984e-05	0.5785761	1.554637e-07	0.5767663	2.650016e-08	0.4528167	1.506148e-14
ENSG00000245532	ENSG00000011243	0.2445718	0.2386962	0.3079772	0.009494935	0.2762807	0.01371385	0.2022803	0.001038338
ENSG00000268388	ENSG00000011243	0.1959965	0.3477502	0.2245123	0.06169056	0.01077932	0.9248834	0.2684677	1.139298e-05
ENSG00000234741	ENSG00000091542	0.1206005	0.5658097	0.1198037	0.3232184	0.0862052	0.4500069	-0.01521939	0.8070473
ENSG00000233016	ENSG00000091542	0.2197137	0.2912929	0.01071877	0.9298231	0.06968429	0.5417043	0.006102969	0.9219846
ENSG00000261188	ENSG00000091542	0.2082383	0.3178468	0.3676026	0.001744491	0.3255537	0.003415164	0.1673784	0.006830425
ENSG00000245694	ENSG00000100124	0.7519983	1.460461e-05	0.4188079	0.0003082227	0.4894921	4.694654e-06	0.4218106	1.22129e-12
ENSG00000249859	ENSG00000169083	0.1412836	0.5005379	-0.1835331	0.1282975	-0.003898954	0.9727955	-0.006972595	0.9109111
ENSG00000234608	ENSG00000169083	0.1173309	0.5764653	0.0327446	0.7878525	0.2561135	0.02271204	0.07690231	0.2165074
ENSG00000233016	ENSG00000169083	0.5766171	0.002551271	-0.04249825	0.7268479	-0.02550693	0.8234318	-0.08848952	0.1548034
ENSG00000234741	ENSG00000169083	0.6160815	0.00104177	-0.1025043	0.398447	0.08110403	0.4773631	0.01249688	0.8410559
ENSG00000245532	ENSG00000214087	0.1860978	0.3731073	0.5398838	1.412186e-06	-0.004635657	0.9676578	0.2205745	0.0003386833
ENSG00000268388	ENSG00000214087	0.06258357	0.7663223	0.05074273	0.6765549	0.2939504	0.008553371	0.150269	0.01530305
ENSG00000234608	ENSG00000162772	0.2408224	0.2461987	0.04919444	0.6859008	0.05655098	0.6205853	0.1559279	0.0118169
ENSG00000268388	ENSG00000113732	-0.08653859	0.6808424	-0.1190359	0.3263519	-0.00929381	0.9352111	0.009762586	0.8755111
ENSG00000268388	ENSG00000171953	-0.1330119	0.5261872	0.1726902	0.1528377	0.4200178	0.0001164296	0.001775048	0.9772762
ENSG00000249859	ENSG00000156127	0.09485001	0.6519972	0.04139716	0.7336584	-0.05923962	0.6040421	-0.03730736	0.5492575
ENSG00000234741	ENSG00000156127	-0.03746859	0.8588693	0.1146448	0.3446401	-0.1017279	0.3723485	0.07144394	0.2510034
ENSG00000234608	ENSG00000156127	0.1858843	0.3736658	0.194643	0.1063838	-0.04536148	0.6913972	0.1816595	0.003286852
ENSG00000233016	ENSG00000156127	-0.05464754	0.7952938	0.1325573	0.2739898	0.08051032	0.4806039	0.1112359	0.07336665
ENSG00000245694	ENSG00000248098	0.7443553	1.986681e-05	0.5243523	3.1768e-06	0.3843032	0.0004712035	0.3986518	2.457408e-11
ENSG00000245532	ENSG00000248098	0.09947808	0.6361402	0.3286128	0.005478682	0.2619852	0.01968194	0.3949828	3.872009e-11
ENSG00000234741	ENSG00000119866	0.6857816	0.0001544142	0.07466611	0.5390094	0.1307961	0.2505747	0.2579494	2.545299e-05
ENSG00000233016	ENSG00000119866	0.6901976	0.0001344847	0.1471393	0.2241683	0.1047204	0.3583738	0.2102454	0.0006449135
ENSG00000249859	ENSG00000119866	0.3599539	0.07715819	0.2083821	0.08343096	-0.04083215	0.7208759	0.09991207	0.1079896
ENSG00000234608	ENSG00000069399	0.552003	0.004224961	0.1225441	0.3121927	0.1558268	0.1702703	0.01364637	0.8266571
ENSG00000233016	ENSG00000069399	0.008224531	0.9688762	0.2469591	0.03929857	0.007712961	0.9462135	0.04961903	0.4256144
ENSG00000234741	ENSG00000069399	-0.116016	0.5807753	0.09469048	0.4355516	0.08611794	0.4504673	0.003151068	0.9596723
ENSG00000249859	ENSG00000069399	0.2069026	0.3210309	0.163843	0.1753202	0.1721266	0.1293033	0.0504815	0.4176043
ENSG00000234741	ENSG00000145734	0.4498327	0.02406021	-0.05338718	0.6607051	-0.04619859	0.6859973	-0.08210891	0.1868962
ENSG00000233016	ENSG00000134107	-0.1268621	0.5456536	0.1622501	0.179612	-0.1333523	0.2413536	-0.1241826	0.04544772
ENSG00000234608	ENSG00000134107	0.08273907	0.6941784	-0.08250017	0.4971528	0.1347191	0.2365203	-0.07491357	0.2286603
ENSG00000234741	ENSG00000135387	0.800322	1.563597e-06	-0.1135785	0.3491754	0.06427727	0.5735812	-0.1176301	0.05820234
ENSG00000268388	ENSG00000100211	-0.05161058	0.8064529	0.3606732	0.002160568	0.2361755	0.03613042	0.1133596	0.0680089
ENSG00000251562	ENSG00000196352	-0.06530288	0.7564627	0.04620465	0.7040803	-0.07886486	0.4896469	0.1798508	0.003616632
ENSG00000268388	ENSG00000196352	-0.09283737	0.6589397	0.2384218	0.04685298	0.3085961	0.005657093	0.06788895	0.2754223
ENSG00000234741	ENSG00000105810	0.1417543	0.4990974	-0.1780461	0.1403123	-0.09018361	0.429291	-0.1545072	0.01261898
ENSG00000249859	ENSG00000245848	-0.2780012	0.1784492	0.08460243	0.4862162	-0.04348744	0.7035416	0.0198267	0.7503433
ENSG00000233016	ENSG00000172216	0.2698534	0.1920464	0.2938336	0.01355339	0.03667658	0.7482858	0.09288038	0.1352631
ENSG00000249859	ENSG00000172216	0.2478745	0.2322133	0.1948918	0.1059287	0.1583841	0.163279	0.09860889	0.1126877
ENSG00000234608	ENSG00000172216	0.180288	0.3884741	-0.1258174	0.2993439	0.03007357	0.7924745	0.04874387	0.433833
