lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000268388	ENSG00000121410	-0.02846593	0.6439576	0.07491078	0.5797067	0.1476231	0.1032192	0.1919273	0.08217167
ENSG00000268388	ENSG00000175899	0.1392585	0.02310942	0.6171435	3.175724e-07	0.4168025	1.623095e-06	-0.09816027	0.3773147
ENSG00000251562	ENSG00000175899	-0.06801026	0.2690425	-0.1433018	0.2875844	-0.1214038	0.181014	-0.1915902	0.08272111
ENSG00000245694	ENSG00000128274	0.0835037	0.1745072	0.06332532	0.6398033	0.1085325	0.2321157	-0.07960443	0.4743812
ENSG00000251562	ENSG00000094914	-0.04852257	0.4306285	-0.0529448	0.6956913	0.2939954	0.000965022	0.268422	0.01414495
ENSG00000245532	ENSG00000094914	0.3099536	2.482802e-07	0.1230263	0.361916	0.38818	9.146943e-06	0.3721831	0.0005308619
ENSG00000251562	ENSG00000081760	-0.05780096	0.3477047	-0.08192384	0.5446288	-0.1777949	0.04913572	-0.05070456	0.6489453
ENSG00000245694	ENSG00000109576	0.07506647	0.2223687	0.2793157	0.03536575	0.2762347	0.001983313	0.1827935	0.09811928
ENSG00000245532	ENSG00000103591	0.1976457	0.001193847	0.5160837	3.973409e-05	-0.2303488	0.01037203	-0.02176772	0.8451354
ENSG00000251562	ENSG00000103591	-0.01586685	0.7967326	0.5456522	1.135448e-05	-0.262603	0.003342447	-0.1297098	0.2425098
ENSG00000245694	ENSG00000008311	0.2601232	1.73362e-05	0.1764518	0.1891839	0.3135802	0.0004127765	0.07472142	0.5019912
ENSG00000268388	ENSG00000275700	0.1296712	0.03452839	0.3611098	0.005785281	0.1383338	0.1270404	0.2481473	0.0237006
ENSG00000245532	ENSG00000181409	0.2435202	5.980592e-05	0.1116083	0.4084961	0.4951493	5.813242e-09	0.4490018	2.066568e-05
ENSG00000268388	ENSG00000183044	-0.0645457	0.2942495	0.01791237	0.8947866	0.01095988	0.9042348	0.6706763	4.022814e-12
ENSG00000268388	ENSG00000165029	0.02519647	0.6824871	0.2550079	0.0555696	0.03716201	0.6832154	0.3251237	0.002708443
ENSG00000245694	ENSG00000107331	0.3053723	3.797269e-07	0.04543538	0.73717	0.1421212	0.1168631	0.4273225	5.599802e-05
ENSG00000251562	ENSG00000107331	0.01795595	0.7706712	0.1165749	0.3878228	-0.005474302	0.9520812	0.2100892	0.0566099
ENSG00000268388	ENSG00000107331	0.08394483	0.1722337	0.2969454	0.02489171	0.02356275	0.7958735	-0.129511	0.2432388
ENSG00000245532	ENSG00000107331	0.1341715	0.02867923	0.2008201	0.1341659	0.06170913	0.4977425	0.1918372	0.08231821
ENSG00000268388	ENSG00000167972	0.009518909	0.8771989	0.104694	0.4383134	-0.06556225	0.4712344	-0.1652234	0.1355136
ENSG00000251562	ENSG00000154265	0.4618726	1.841908e-15	0.7088368	6.83921e-10	0.5693715	6.33581e-12	0.4811775	4.130184e-06
ENSG00000245532	ENSG00000154265	0.6971422	4.920697e-40	0.8850902	6.488784e-20	0.6512951	3.453913e-16	0.499451	1.535186e-06
ENSG00000268388	ENSG00000154262	-0.0539482	0.3808326	-0.1013389	0.453209	-0.1605451	0.07608348	-0.02934084	0.7923112
ENSG00000268388	ENSG00000064687	-0.06727115	0.2742924	0.05375549	0.6912634	-0.07629279	0.401631	0.08690753	0.4346629
ENSG00000268388	ENSG00000141338	0.1358661	0.0267081	-0.07468304	0.5808628	0.002496109	0.9781402	-0.05735306	0.6065452
ENSG00000251562	ENSG00000141338	-0.01535783	0.8031181	0.1029329	0.4460981	-0.1241881	0.1711386	-0.04413437	0.6919733
ENSG00000245694	ENSG00000135776	0.3369447	1.748948e-08	0.579897	2.275395e-06	0.225712	0.01206663	0.004086164	0.9707543
ENSG00000245694	ENSG00000005471	0.08151313	0.1850436	0.1448459	0.2823673	-0.07383982	0.4169808	-0.07301151	0.511853
ENSG00000268388	ENSG00000103222	0.01241101	0.8403296	0.2067683	0.1227795	0.04324218	0.6348551	0.357669	0.0009013327
ENSG00000251562	ENSG00000023839	-0.009546169	0.87685	-0.1300498	0.3349431	-0.1118641	0.2180104	0.007808773	0.9441432
ENSG00000268388	ENSG00000108846	-0.04247112	0.4903627	-0.04687499	0.7291561	-0.01519523	0.8675178	-0.1494885	0.1773871
ENSG00000245694	ENSG00000069431	-0.06770869	0.2711762	0.2325493	0.08172484	-0.06350287	0.4853056	-0.2019225	0.06715899
ENSG00000251562	ENSG00000069431	0.03236185	0.5992649	0.04764468	0.7248831	0.05273355	0.5624035	0.01205788	0.9138447
ENSG00000245694	ENSG00000101986	0.149101	0.01493584	0.1905399	0.1556896	0.1080717	0.2341158	-0.1111815	0.3169928
ENSG00000245532	ENSG00000101986	-0.04090175	0.5065471	-0.2082628	0.1200377	-0.04427107	0.6268146	-0.1228297	0.2686158
ENSG00000268388	ENSG00000119688	0.0498227	0.4183659	0.4670777	0.0002494969	0.3905944	7.954069e-06	0.3480347	0.001263744
ENSG00000268388	ENSG00000164163	0.06877255	0.2637003	0.2788606	0.03567831	0.1453982	0.1085777	0.2426851	0.02706387
ENSG00000245694	ENSG00000164163	0.2607764	1.648313e-05	0.4923878	0.0001000204	0.129716	0.1527227	-0.03582896	0.7477782
ENSG00000245694	ENSG00000204574	0.01768663	0.7740172	0.1888771	0.1593977	0.05110713	0.5745349	-0.1143701	0.3032249
ENSG00000245694	ENSG00000033050	0.02132647	0.7291733	0.4601082	0.0003170054	0.0471231	0.604757	0.02314763	0.8354518
ENSG00000245532	ENSG00000033050	-0.03497717	0.5700705	-0.07245595	0.592224	0.02205793	0.8086516	-0.06519622	0.5581568
ENSG00000245694	ENSG00000161204	0.1306068	0.0332353	0.1495658	0.2668094	0.1658447	0.06676631	0.2347831	0.03263889
