lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000245694	ENSG00000121410	0.2811922	0.0001865337	-0.2682514	0.2397097	0.2162849	0.1235528	0.1643216	0.5584102
ENSG00000251562	ENSG00000175899	-0.142446	0.06231374	-0.2702656	0.2360632	-0.08777393	0.5360767	-0.4284861	0.1110391
ENSG00000245694	ENSG00000128274	0.3353652	6.887625e-06	0.2581953	0.2584585	0.5430752	3.184839e-05	-0.1523959	0.5876765
ENSG00000251562	ENSG00000094914	0.4172663	1.238072e-08	0.430372	0.05147915	0.3527586	0.01031815	-0.1694347	0.5460569
ENSG00000251562	ENSG00000081760	-0.09311034	0.2244167	0.08682173	0.7082463	-0.06882325	0.6278163	-0.3381661	0.2176453
ENSG00000245694	ENSG00000109576	0.1925402	0.0113916	-0.05213015	0.8224349	0.1109918	0.4334265	0.1686243	0.5480068
ENSG00000251562	ENSG00000103591	0.04986082	0.5159801	0.1490309	0.519094	0.2655676	0.05706588	-0.2418959	0.3850727
ENSG00000245694	ENSG00000008311	0.496582	4.267467e-12	0.6936126	0.0004885172	0.4623287	0.0005593351	0.377451	0.165445
ENSG00000268388	ENSG00000275700	-0.04704763	0.5399661	0.2491896	0.2760196	0.3128274	0.02394597	0.1154969	0.6818886
ENSG00000268388	ENSG00000183044	-0.03824391	0.6184213	0.1577658	0.4946065	-0.1012984	0.4748825	-0.2933437	0.2886338
ENSG00000251562	ENSG00000165029	-0.00571041	0.9407352	-0.2197977	0.3383955	0.180543	0.2002566	-0.1633585	0.5607503
ENSG00000245694	ENSG00000107331	0.4210668	8.837957e-09	0.4288742	0.05238661	0.572019	9.422021e-06	-0.135441	0.6303169
ENSG00000251562	ENSG00000107331	0.3401245	4.994693e-06	-0.07781769	0.7374151	0.4556947	0.0006868321	-0.2338589	0.4015361
ENSG00000251562	ENSG00000154265	0.667928	1.406313e-23	0.6873019	0.0005766504	0.3303904	0.01674931	0.8064346	0.0002813665
ENSG00000245532	ENSG00000154265	0.5839655	4.16214e-17	0.5157501	0.01670534	0.1348753	0.340427	0.6410355	0.01001679
ENSG00000268388	ENSG00000141338	-0.0618159	0.4204924	-0.04271804	0.8541272	-0.02449573	0.8631443	0.1069893	0.7043078
ENSG00000251562	ENSG00000141338	-0.004624147	0.9519938	0.01272619	0.956338	0.08670848	0.5410559	-0.09706595	0.7307448
ENSG00000245694	ENSG00000135776	0.329596	1.00965e-05	0.3014994	0.1841125	0.03003174	0.8326179	-0.280365	0.3114731
ENSG00000245694	ENSG00000005471	0.2729064	0.0002922943	0.1246067	0.590467	0.2550668	0.06801367	0.3431804	0.2104656
ENSG00000268388	ENSG00000103222	-0.06182565	0.420419	0.236489	0.3020243	0.2799016	0.04446274	-0.02143461	0.9395609
ENSG00000245694	ENSG00000103222	0.004081682	0.9576198	-0.04724091	0.8388678	0.1014301	0.4743057	-0.3197408	0.2453422
ENSG00000251562	ENSG00000023839	-0.1202919	0.1159915	-0.1401107	0.5446794	-0.233986	0.09500918	-0.06372848	0.8214854
ENSG00000268388	ENSG00000108846	0.06144815	0.4232674	0.06228304	0.7885455	0.1580987	0.2629654	0.04260887	0.880154
ENSG00000245532	ENSG00000108846	0.1104579	0.1491625	0.05424963	0.815333	0.05285246	0.7098035	-0.2936031	0.2881877
ENSG00000245694	ENSG00000108846	0.2959911	8.070844e-05	0.1413555	0.5410747	0.1420655	0.3150642	-0.4760844	0.07282375
ENSG00000245694	ENSG00000069431	0.1567826	0.03998435	0.2743067	0.2288564	0.1383372	0.3280611	-0.3524668	0.1975709
ENSG00000251562	ENSG00000069431	0.09538807	0.2132343	0.1352509	0.5588559	0.4595208	0.0006104314	-0.2032056	0.4676134
ENSG00000245694	ENSG00000101986	0.0610674	0.4261515	0.1287614	0.5780385	-0.08825393	0.5338409	-0.4548594	0.08846604
ENSG00000245694	ENSG00000164163	0.2567062	0.0006756675	0.1030699	0.6566155	0.123527	0.3829573	-0.2061186	0.4611165
ENSG00000245694	ENSG00000204574	0.1852896	0.01495611	0.2409781	0.2926672	0.1722119	0.2221635	-0.3334612	0.224521
ENSG00000245694	ENSG00000033050	0.3553792	1.719574e-06	0.3541021	0.1152881	0.5036941	0.0001409145	0.1260798	0.6543433
ENSG00000245694	ENSG00000161204	0.3117915	3.133253e-05	0.3845703	0.08519118	0.5297797	5.371862e-05	-0.2456119	0.3775853
ENSG00000245694	ENSG00000248487	0.2403578	0.001493372	0.2739483	0.2294897	0.3703157	0.006886614	0.4071499	0.1320053
ENSG00000245694	ENSG00000107362	0.2595634	0.0005850665	0.199592	0.3857148	0.1785306	0.2054023	-0.3920076	0.1484223
ENSG00000251562	ENSG00000140526	-0.06632193	0.3873607	-0.211919	0.356422	-0.01942529	0.8912795	-0.3142401	0.2540126
ENSG00000245694	ENSG00000097007	0.3939381	8.963554e-08	0.2968994	0.1912272	0.1452256	0.3043084	-0.4247315	0.114549
ENSG00000245694	ENSG00000143322	0.4061013	3.254153e-08	0.2490899	0.276218	0.1984774	0.1583846	-0.4053853	0.1338517
ENSG00000251562	ENSG00000143322	0.290529	0.0001105455	0.2399196	0.2948573	0.2836534	0.04157039	0.03465528	0.9024153
ENSG00000251562	ENSG00000099204	0.3099157	3.515759e-05	0.1564231	0.4983333	0.2289979	0.1024762	-0.2632388	0.343161
ENSG00000245694	ENSG00000159842	0.2192942	0.003848598	0.5894793	0.004920279	0.0601517	0.6718578	-0.2325014	0.404353
ENSG00000245694	ENSG00000146386	-0.07737146	0.3130556	-0.08384996	0.7178323	0.05379163	0.7048795	-0.0432115	0.8784704
ENSG00000251562	ENSG00000278540	0.1267916	0.09743316	0.119544	0.6057624	-0.01243761	0.9302646	0.3002368	0.2769191
ENSG00000245694	ENSG00000278540	0.2529748	0.0008134683	0.4749631	0.02957142	0.1956833	0.164446	-0.1897452	0.4982027
ENSG00000245694	ENSG00000151498	0.1264505	0.09834471	0.6248518	0.002458367	0.3933079	0.003920588	-0.07021622	0.803624
ENSG00000245694	ENSG00000177646	0.1731526	0.02311658	0.4184109	0.05907247	0.4625144	0.0005560966	-0.3140239	0.2543572
ENSG00000251562	ENSG00000177646	0.04526432	0.5554524	-0.1784941	0.4388574	0.1723819	0.2217006	-0.2446997	0.379416
ENSG00000245532	ENSG00000072778	0.09643032	0.2082526	0.04473272	0.8473235	0.1007359	0.4773514	0.209292	0.4540899
ENSG00000251562	ENSG00000072778	0.09067904	0.2368045	0.1286583	0.5783456	0.03971504	0.7798322	-0.1443335	0.6078069
ENSG00000245694	ENSG00000120437	-0.08350515	0.2761198	0.01411774	0.9515688	0.1161367	0.412276	-0.1930449	0.4906187
ENSG00000251562	ENSG00000107897	0.1570897	0.03959159	-0.0668787	0.7733218	-0.08253736	0.5607614	-0.1755431	0.5314571
ENSG00000251562	ENSG00000078124	0.1317931	0.08482122	-0.3421873	0.1289274	0.2304693	0.100228	-0.2000208	0.474767
ENSG00000245694	ENSG00000078124	0.1781596	0.0193747	-0.09198348	0.6916974	0.2605216	0.06213461	-0.549138	0.03399202
ENSG00000251562	ENSG00000087085	0.101972	0.1831658	0.1020319	0.6598721	0.1388021	0.3264221	-0.08707411	0.7576515
ENSG00000251562	ENSG00000100813	0.563164	8.86374e-16	0.6824194	0.0006538258	0.4943902	0.0001951277	-0.09886586	0.7259277
ENSG00000268388	ENSG00000144476	0.2091362	0.005899617	0.6944282	0.0004780139	0.03437965	0.8088111	0.1537992	0.5842004
ENSG00000251562	ENSG00000131473	0.03566865	0.6422704	-0.1194381	0.6060838	-0.01925623	0.89222	-0.08402347	0.7659197
ENSG00000251562	ENSG00000100412	-0.1818356	0.01697269	-0.1150063	0.6196079	-0.2059168	0.1430471	-0.2494381	0.3699592
ENSG00000268388	ENSG00000097021	-0.02370253	0.7576012	-0.008095041	0.9722193	0.0735233	0.6044598	0.3112899	0.258739
ENSG00000251562	ENSG00000143727	0.1199014	0.1171889	-0.1224595	0.5969343	0.3185667	0.02135213	0.1341486	0.6336142
ENSG00000245532	ENSG00000134575	-0.02845529	0.7109791	-0.3153461	0.1637891	0.03774083	0.7905227	-0.3284675	0.2319662
ENSG00000251562	ENSG00000134575	-0.007838925	0.9187103	-0.5306967	0.01331883	0.01904834	0.8933768	-0.4089782	0.1301106
ENSG00000245694	ENSG00000102575	-0.3035584	5.164834e-05	-0.395935	0.07561234	-0.3472891	0.01165196	-0.0320231	0.9097982
ENSG00000245694	ENSG00000111644	0.1412189	0.06462621	0.53772	0.01193239	0.1900032	0.1772878	0.3130154	0.2559682
ENSG00000251562	ENSG00000176715	0.03634651	0.6359559	-0.08359249	0.7186647	0.1527394	0.2796956	-0.1760933	0.5301507
ENSG00000245694	ENSG00000123983	0.13587	0.07553931	0.03990619	0.8636396	0.0781875	0.5816633	-0.2601461	0.3490692
ENSG00000251562	ENSG00000131069	0.1635215	0.032083	-0.06687307	0.7733404	-0.001712435	0.990387	-0.07986031	0.777241
ENSG00000268388	ENSG00000107796	0.160301	0.03567594	0.1362344	0.5559737	0.1759151	0.212229	0.019542	0.9448897
ENSG00000251562	ENSG00000107796	-0.09517687	0.2142541	-0.06123674	0.7920221	-0.03426699	0.8094259	-0.3845882	0.1569448
ENSG00000251562	ENSG00000130402	0.02716759	0.7235137	-0.144882	0.5309227	0.1346436	0.3412647	-0.585765	0.02176234
ENSG00000245694	ENSG00000138107	0.3520303	2.183581e-06	0.2981638	0.1892533	0.4887158	0.0002369009	-0.2153257	0.4408776
ENSG00000251562	ENSG00000115073	0.2386847	0.001614932	-0.3529268	0.1165851	0.1477044	0.2960392	-0.3949056	0.1451795
ENSG00000245694	ENSG00000138071	0.1618051	0.03395768	0.02054959	0.9295487	0.06278211	0.6583738	-0.3479734	0.2037452
ENSG00000245694	ENSG00000115091	0.2706153	0.0003301249	0.06069466	0.7938247	0.09837654	0.4877799	-0.2178125	0.4354891
ENSG00000245694	ENSG00000184378	0.08696731	0.256627	0.3020225	0.1833149	0.3105552	0.02504365	-0.2640792	0.3415653
ENSG00000251562	ENSG00000135503	0.1672214	0.02833922	0.02960851	0.898622	0.3923564	0.004016237	-0.4799644	0.07019509
ENSG00000245694	ENSG00000121989	0.4585092	2.530628e-10	0.294875	0.1944165	0.2377953	0.08959693	-0.1395028	0.6199962
ENSG00000251562	ENSG00000139567	-0.1206703	0.1148406	0.07457075	0.7480219	0.1210485	0.392649	-0.3766116	0.1664642
ENSG00000245694	ENSG00000196839	-0.139168	0.06864746	-0.102031	0.6598749	-0.06930162	0.625422	-0.2552231	0.35859
ENSG00000245694	ENSG00000148848	0.1274762	0.09562379	-0.2768412	0.2244107	0.04686544	0.7414622	-0.5386633	0.03828767
ENSG00000251562	ENSG00000151388	-0.1032195	0.1778378	0.09277562	0.6891694	-0.01790264	0.899756	-0.2325424	0.4042679
ENSG00000245694	ENSG00000160323	0.5473518	7.885497e-15	0.773981	3.841932e-05	0.6932313	1.227362e-08	0.6895568	0.004451693
ENSG00000245694	ENSG00000087116	-0.04885111	0.5245257	-0.3235875	0.1524591	0.2037709	0.1473529	-0.5856807	0.02178591
ENSG00000268388	ENSG00000087116	0.03836253	0.617332	0.1419921	0.5392353	0.01896588	0.8938358	0.002503307	0.9929356
ENSG00000251562	ENSG00000163638	0.4123507	1.902891e-08	-0.02399415	0.9177753	0.2385888	0.0885005	-0.02517724	0.9290305
ENSG00000245694	ENSG00000143382	0.2944878	8.806317e-05	0.2714353	0.2339622	0.3488101	0.01126694	-0.08135022	0.7731845
ENSG00000245532	ENSG00000105963	0.2243985	0.003083051	0.1639098	0.4777294	0.2135294	0.1285257	-0.2437715	0.3812838
ENSG00000251562	ENSG00000105963	0.2247524	0.003035456	0.2353648	0.3043958	0.1467359	0.2992525	-0.3581479	0.1899387
ENSG00000268388	ENSG00000105963	-0.03358253	0.661863	-0.03040241	0.8959178	-0.0624587	0.660026	-0.1948363	0.4865242
