lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value
ENSG00000268388	ENSG00000121410	0.009629904	0.9005183	-0.1250089	0.2514534	-0.0149653	0.8918703
ENSG00000245694	ENSG00000121410	-0.05638815	0.4638357	-0.1989087	0.06635715	-0.00891197	0.9354822
ENSG00000245694	ENSG00000128274	0.2219979	0.003520464	0.4798061	2.947552e-06	0.03895967	0.723334
ENSG00000251562	ENSG00000094914	0.2652651	0.0004542491	0.2686183	0.01239285	0.1560153	0.1539145
ENSG00000245532	ENSG00000094914	0.2735417	0.0002945134	0.2444118	0.02333358	0.05013754	0.6486144
ENSG00000251562	ENSG00000081760	0.303876	5.333357e-05	0.4024864	0.0001221856	0.208413	0.05560753
ENSG00000245694	ENSG00000109576	-0.08854095	0.2494879	0.09049828	0.4072922	-0.1802286	0.09882658
ENSG00000245694	ENSG00000008311	0.02816771	0.7145803	0.05244358	0.6315436	-0.09189281	0.4029088
ENSG00000268388	ENSG00000275700	-0.08586698	0.2641292	0.231372	0.03207827	0.08459163	0.4414601
ENSG00000268388	ENSG00000183044	0.01662703	0.8291071	-0.1548138	0.1546572	-0.102064	0.3526397
ENSG00000245694	ENSG00000107331	0.04036406	0.6001597	0.1462852	0.1789535	0.1059258	0.3346221
ENSG00000251562	ENSG00000107331	0.1339474	0.08070303	0.3604708	0.0006512163	0.3596262	0.0007239556
ENSG00000268388	ENSG00000107331	0.0336287	0.6623649	-0.07915471	0.4687914	-0.03645895	0.7404419
ENSG00000245532	ENSG00000107331	0.0732047	0.3413345	0.1829981	0.09170038	0.1176069	0.2837412
ENSG00000245694	ENSG00000135776	0.1056969	0.1688568	-0.05921532	0.5881076	0.1738162	0.1116289
ENSG00000245694	ENSG00000005471	-0.04375914	0.5698311	-0.2019576	0.06221836	-0.1555059	0.1552798
ENSG00000268388	ENSG00000103222	0.1640465	0.03203295	0.2310219	0.03234671	0.3784426	0.0003553485
ENSG00000245694	ENSG00000103222	0.3497379	2.74805e-06	0.2623372	0.01468255	0.1875771	0.08560268
ENSG00000245532	ENSG00000124574	0.3689576	6.845787e-07	0.1799666	0.09729981	0.4344022	3.268603e-05
ENSG00000245694	ENSG00000108846	0.1287297	0.09334686	-0.005287855	0.961461	0.1639999	0.1336684
ENSG00000245694	ENSG00000069431	0.01250427	0.8710526	-0.08262351	0.4494686	-0.0611763	0.5780824
ENSG00000245694	ENSG00000101986	0.1979241	0.009460939	0.1855607	0.08716827	0.1184171	0.280414
ENSG00000268388	ENSG00000164163	0.1192621	0.1202641	0.3983725	0.0001453932	0.3064757	0.004334682
ENSG00000245694	ENSG00000164163	0.348626	2.969966e-06	0.4334576	3.060894e-05	0.06737356	0.5401056
ENSG00000245694	ENSG00000204574	0.2218048	0.003549977	0.3291518	0.00197161	0.06174942	0.5745191
ENSG00000245694	ENSG00000033050	0.2804191	0.0002033042	0.4249497	4.538092e-05	0.1426436	0.1928113
ENSG00000245532	ENSG00000033050	0.2312556	0.002340455	-0.1792396	0.0986816	0.01554097	0.8877374
ENSG00000245694	ENSG00000161204	0.2688046	0.0003780479	0.4522389	1.23518e-05	0.2117754	0.05169156
ENSG00000268388	ENSG00000161204	-0.01791368	0.8161091	0.4372918	2.554258e-05	0.06849162	0.5333871
ENSG00000245694	ENSG00000248487	-0.03369587	0.6617321	-0.1024664	0.3478314	0.01320212	0.9045461
ENSG00000245694	ENSG00000107362	0.2525106	0.0008624052	0.21359	0.04831155	0.3994475	0.0001524014
ENSG00000268388	ENSG00000136379	0.07263331	0.3451262	0.2646871	0.0137863	0.4536571	1.298514e-05
ENSG00000268388	ENSG00000127220	-0.0863961	0.2611864	0.1612107	0.1381148	-0.029121	0.791346
ENSG00000268388	ENSG00000138443	0.1533264	0.04526845	0.6767835	8.492471e-13	0.2069289	0.0574116
ENSG00000245694	ENSG00000097007	0.2170383	0.004352773	0.4039225	0.0001149273	0.2617238	0.01553828
