lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000251562	ENSG00000175899	0.008247697	0.8915039	-0.03673768	0.6878759	0.1349066	0.2211351	0.01617106	0.937505
ENSG00000251562	ENSG00000094914	-0.2011958	0.0007743945	-0.1072585	0.2396316	-0.06955853	0.5295296	0.02857609	0.8897885
ENSG00000245532	ENSG00000094914	-0.156972	0.008996357	-0.07702391	0.3990873	0.1002452	0.3642566	0.1278661	0.5336199
ENSG00000251562	ENSG00000081760	-0.03523733	0.55994	0.1005344	0.270548	-0.1540904	0.1616708	-0.1587324	0.4386333
ENSG00000245532	ENSG00000103591	-0.06512251	0.2809753	0.0569779	0.5330418	-0.07164684	0.5172126	-0.2583911	0.2024795
ENSG00000251562	ENSG00000103591	0.01158763	0.8480235	0.03153764	0.7302114	-0.2487195	0.0225264	-0.2062124	0.3121676
ENSG00000245532	ENSG00000181409	-0.01804656	0.7653402	0.07742758	0.3966134	0.3853004	0.0002954934	0.3947593	0.04595721
ENSG00000268388	ENSG00000183044	0.06545561	0.2785167	0.176984	0.05115805	0.1126009	0.3078289	0.1532234	0.4548859
ENSG00000251562	ENSG00000165029	0.5189685	1.964763e-20	0.2260561	0.01229142	0.01055661	0.9240719	-0.05412079	0.792872
ENSG00000251562	ENSG00000107331	-0.0886932	0.141645	-0.05917842	0.5173176	0.1916655	0.08071481	0.337855	0.09140075
ENSG00000251562	ENSG00000154265	0.495045	1.80532e-18	0.3575927	5.263181e-05	0.4802042	3.791227e-06	0.1430851	0.4856071
ENSG00000245532	ENSG00000154265	0.4744957	6.672476e-17	0.6137799	5.603745e-14	0.5896159	3.611683e-09	0.1823305	0.3726671
ENSG00000268388	ENSG00000141338	0.5076344	1.74853e-19	0.5967473	4.057375e-13	0.9363978	4.793456e-39	0.4298192	0.02841378
ENSG00000251562	ENSG00000141338	0.2163666	0.0002932096	0.1297407	0.1543574	0.1048959	0.3423134	0.1424148	0.4876747
ENSG00000251562	ENSG00000023839	0.03192097	0.5974724	-0.05962863	0.51413	-0.2031385	0.06384346	-0.1561849	0.4461098
ENSG00000251562	ENSG00000069431	0.2853106	1.443103e-06	0.09177553	0.3147129	-0.09440812	0.3929888	0.1491787	0.4670177
ENSG00000268388	ENSG00000164163	-0.2072937	0.0005284302	-0.05938032	0.5158868	-0.1233557	0.2636058	-0.05492386	0.7898655
ENSG00000245694	ENSG00000164163	-0.004657626	0.9386016	0.09846044	0.2806057	-0.03978173	0.7193822	-0.3609954	0.07000965
ENSG00000245694	ENSG00000033050	-0.1305185	0.03017569	0.03316291	0.7168849	-0.1024908	0.3535556	-0.2798688	0.1661358
ENSG00000245532	ENSG00000033050	-0.1272489	0.03459899	-0.1350204	0.1381289	-0.1570579	0.1536485	-0.005061488	0.9804224
ENSG00000251562	ENSG00000140526	0.02565116	0.671358	0.1882625	0.0378359	-0.1134652	0.3041067	0.001163624	0.9954987
ENSG00000251562	ENSG00000143322	0.5494596	3.592405e-23	0.3468602	9.078514e-05	0.08029879	0.4677794	0.3044148	0.1305274
ENSG00000251562	ENSG00000099204	-0.01166488	0.8470227	0.1224607	0.1790254	0.06761563	0.5411189	0.01658592	0.9359049
ENSG00000251562	ENSG00000278540	0.1374236	0.02239885	-0.01203901	0.895292	-0.02964362	0.7889486	0.256001	0.2068346
ENSG00000251562	ENSG00000177646	-0.05308199	0.3796825	-0.08528486	0.3502999	-0.1258633	0.2539468	0.2594768	0.2005221
ENSG00000251562	ENSG00000072778	-0.1456082	0.01547944	-0.1173628	0.1979465	0.1916462	0.08074593	0.2471191	0.2235738
ENSG00000268388	ENSG00000120437	-0.1018884	0.09114016	-0.1458828	0.1088618	-0.07196324	0.5153593	-0.1769372	0.3872109
ENSG00000245694	ENSG00000120437	-0.1273612	0.03443851	-0.144609	0.1120197	-0.1670222	0.1288794	-0.2701953	0.181889
ENSG00000251562	ENSG00000107897	0.04547842	0.4517476	0.1522756	0.09405137	-0.1157356	0.294469	-0.3620437	0.06914088
ENSG00000278910	ENSG00000110455	-0.04640798	0.4425454	-0.05518368	0.546037	-0.04450269	0.6877123	-0.1194973	0.5609428
ENSG00000251562	ENSG00000078124	0.3021649	3.099852e-07	0.3446358	0.000101398	-0.04691204	0.6717503	-0.1268387	0.53694
ENSG00000251562	ENSG00000087085	-0.05344539	0.3764241	-0.0376051	0.6809028	0.294897	0.006466889	0.5469915	0.003831169
ENSG00000251562	ENSG00000100813	-0.06080587	0.3141607	-0.01500922	0.8696644	0.3750732	0.0004391686	0.3408491	0.08838559
ENSG00000251562	ENSG00000131473	-0.04402042	0.4663955	-0.07513671	0.4107741	-0.2582209	0.017714	-0.01043761	0.9596401
ENSG00000251562	ENSG00000100412	-0.1179859	0.05022101	-0.08103567	0.3749097	-0.1977029	0.07144092	-0.0508803	0.8050323
ENSG00000268388	ENSG00000097021	-0.0613585	0.3097747	-0.09244151	0.3111992	-0.09704492	0.3798463	-0.3077574	0.1261455
ENSG00000251562	ENSG00000143727	-0.05155915	0.3935233	-0.05193292	0.5699696	-0.1807494	0.09989652	-0.3863623	0.05121808
ENSG00000268388	ENSG00000143727	-0.2213974	0.0002092728	-0.06161972	0.5001546	-0.1393952	0.2060076	-0.4561929	0.01915967
ENSG00000251562	ENSG00000134575	-0.1140968	0.05834423	-0.1787642	0.04882831	-0.0872517	0.4299954	0.0001402437	0.9994575
ENSG00000251562	ENSG00000176715	0.002958865	0.9609724	0.2261994	0.01223495	0.2698825	0.0130389	0.1234195	0.5480588
ENSG00000251562	ENSG00000131069	-0.06988505	0.2472055	-0.1185419	0.1934469	0.2518778	0.02081594	0.4561084	0.01918477
ENSG00000251562	ENSG00000107796	0.02678627	0.6577175	0.0588955	0.5193259	-0.1766079	0.1080446	-0.2561112	0.2066324
ENSG00000245532	ENSG00000184009	-0.09183678	0.1280089	-0.1139532	0.2113827	-0.1302603	0.2376	-0.2602309	0.1991702
ENSG00000251562	ENSG00000130402	-0.1209714	0.0446447	-0.09636351	0.2910267	-0.223943	0.04057921	-0.09012834	0.6614898
ENSG00000268388	ENSG00000138107	0.0972708	0.1068585	0.01990829	0.8277002	0.03507773	0.7514159	-0.02784753	0.8925823
ENSG00000245694	ENSG00000138107	-0.06070481	0.3149671	-0.01938582	0.8321547	-0.09524521	0.3887875	-0.3349806	0.0943675
ENSG00000251562	ENSG00000115073	-0.1504118	0.01235863	-0.1095208	0.2298056	-0.04712391	0.6703535	0.119668	0.560379
ENSG00000251562	ENSG00000135503	-0.09041587	0.1340411	-0.009848254	0.9142651	0.2091001	0.05627793	0.5264467	0.005731037
ENSG00000245694	ENSG00000121989	0.2748652	3.56477e-06	0.3140415	0.000427426	-0.01396853	0.8996436	0.3122581	0.1204161
ENSG00000268388	ENSG00000121989	0.1249448	0.03803713	0.4263039	9.785451e-07	0.1772945	0.1066592	0.2831304	0.1610476
ENSG00000251562	ENSG00000139567	-0.07652474	0.2050074	-0.05055116	0.5802897	0.03049764	0.7830156	0.7839398	2.160422e-06
ENSG00000245694	ENSG00000196839	-0.2754314	3.397448e-06	-0.2831786	0.001574631	-0.1647125	0.1343303	-0.5544271	0.003290764
ENSG00000251562	ENSG00000151388	0.1199171	0.04655151	0.2313769	0.01034058	-0.2574074	0.01808814	-0.2919353	0.1478641
ENSG00000251562	ENSG00000163638	0.2361082	7.467851e-05	0.104579	0.2516428	-0.07914813	0.4742019	-0.06364935	0.7573969
ENSG00000251562	ENSG00000105963	-0.132441	0.02780766	-0.05135477	0.5742772	-0.1809237	0.09956434	0.04124976	0.8414229
ENSG00000251562	ENSG00000184060	0.0956208	0.1129672	-0.04293374	0.6386741	0.005324892	0.9616585	-0.1929373	0.3450058
ENSG00000251562	ENSG00000065457	0.3094777	1.541912e-07	0.2119092	0.01911939	0.06876906	0.5342238	-0.1894658	0.3539206
ENSG00000251562	ENSG00000189007	0.2320175	0.0001001253	0.2158289	0.01695979	0.3381462	0.001655511	0.2970445	0.1405778
ENSG00000251562	ENSG00000213638	-0.1229584	0.04122895	-0.08880608	0.330692	0.06072674	0.5831859	-0.004730786	0.9817013
ENSG00000251562	ENSG00000063761	-0.1753576	0.003469901	-0.1335867	0.1424013	0.1996701	0.06861146	0.2056926	0.313416
ENSG00000251562	ENSG00000164742	0.002055879	0.9728773	-0.02435223	0.790047	0.05079751	0.6463151	-0.05346773	0.7953189
ENSG00000251562	ENSG00000129467	-0.05265136	0.3835659	0.0997272	0.2744332	0.06972951	0.5285157	0.2330445	0.2519116
ENSG00000251562	ENSG00000174233	-0.03037626	0.6153342	0.07045337	0.4406294	0.2105708	0.05452886	0.6168986	0.000788848
ENSG00000251562	ENSG00000148700	0.1216199	0.04350463	0.3068789	0.0005859449	-0.1297583	0.2394286	0.08914092	0.6649851
ENSG00000251562	ENSG00000112414	0.008857575	0.8835361	0.1417315	0.1194156	0.03200432	0.7725788	0.03119832	0.8797442
ENSG00000251562	ENSG00000117114	0.08760682	0.1466071	0.2135783	0.01817235	-0.1026751	0.352686	-0.01887767	0.9270703
ENSG00000251562	ENSG00000162618	0.08670003	0.1508492	0.05580917	0.5414891	-0.1662317	0.1307257	-0.003122976	0.9879197
ENSG00000268388	ENSG00000147576	0.2361632	7.438215e-05	0.3638502	3.795278e-05	0.5994778	1.690249e-09	0.1710641	0.4034108
ENSG00000251562	ENSG00000147576	0.07859291	0.1929943	0.2254257	0.01254266	0.3861094	0.0002862166	0.3332948	0.09614067
ENSG00000245532	ENSG00000147576	0.1207061	0.04511825	0.3229446	0.0002855909	0.6190021	3.475516e-10	0.2121465	0.2981353
