lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value
ENSG00000251562	ENSG00000100591	-0.07959444	0.2153874	0.09840512	0.2128305	0.2975256	0.005985996
ENSG00000268388	ENSG00000168874	0.6445902	4.776042e-30	0.1721846	0.02845383	-0.01943529	0.8607065
ENSG00000268388	ENSG00000112175	0.0526442	0.4129725	0.1151548	0.1445127	-0.09729118	0.3786326
ENSG00000268388	ENSG00000102547	0.1418688	0.02669828	-0.04549946	0.5653406	0.1494202	0.1749183
ENSG00000245694	ENSG00000102547	0.09781741	0.1275669	0.02856234	0.7182506	0.01199407	0.9137702
ENSG00000268388	ENSG00000138778	-0.1372792	0.03207164	0.1397956	0.07602148	0.1461723	0.1845893
ENSG00000251562	ENSG00000138778	0.1435161	0.02496788	0.08923381	0.2588049	0.362006	0.0007152622
ENSG00000245694	ENSG00000138778	0.3038887	1.315456e-06	0.2356913	0.002533726	0.3780485	0.0003918733
ENSG00000251562	ENSG00000122966	0.1855791	0.003622782	0.1260645	0.1099322	0.2711718	0.01259464
ENSG00000268388	ENSG00000163815	0.8222556	3.570727e-61	0.3972322	1.660924e-07	0.1574129	0.1527091
ENSG00000268388	ENSG00000103316	0.03339441	0.6036885	0.07371002	0.3512439	-0.1012943	0.3592327
ENSG00000251562	ENSG00000103316	0.02100885	0.7440312	-0.07041655	0.3732393	0.006173216	0.9555559
ENSG00000251562	ENSG00000166347	-0.1095401	0.08774292	-0.06494747	0.4115822	-0.09081769	0.4113127
ENSG00000251562	ENSG00000035499	0.02534589	0.6936212	0.07660388	0.3326037	0.04961228	0.6540327
ENSG00000186594	ENSG00000128191	-0.03102452	0.6296311	0.01487487	0.8509782	-0.09309956	0.3996101
ENSG00000251562	ENSG00000163879	0.05480507	0.3940324	0.0834509	0.2910713	-0.1696139	0.122966
ENSG00000186594	ENSG00000141543	-0.1108703	0.0839365	0.0132586	0.867012	0.1246984	0.2584034
ENSG00000186594	ENSG00000066044	-0.2047877	0.001297109	-0.1891981	0.01589701	-0.1710936	0.1196842
ENSG00000245694	ENSG00000183807	-0.01507241	0.8147964	0.07866698	0.3197086	0.1697559	0.1226481
ENSG00000186594	ENSG00000102081	-0.03540667	0.5820434	-0.08260267	0.2960202	-0.04941975	0.6552898
ENSG00000225383	ENSG00000160973	-0.03122427	0.6274263	0.07682868	0.3311827	-0.08851478	0.4233233
ENSG00000260948	ENSG00000089280	0.4216073	6.195725e-12	0.08619583	0.2754359	0.5037598	1.035354e-06
ENSG00000186594	ENSG00000089280	0.02270865	0.72413	-0.0798208	0.3126401	-0.04561153	0.6803487
