lnc	gene	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000245694	ENSG00000204574	0.1500023	0.5052258	0.04826762	0.4096144	0.03618953	0.7873912
ENSG00000249492	ENSG00000091542	0.4692634	0.02757629	0.2377997	3.800452e-05	0.4217473	0.0009762148
ENSG00000268388	ENSG00000003393	0.4425986	0.03913884	0.0620359	0.2890608	0.09129594	0.4955052
ENSG00000251562	ENSG00000003393	0.6123083	0.002453719	0.1680638	0.003852401	0.1733476	0.1931507
ENSG00000245694	ENSG00000081181	0.101816	0.6520918	-0.07538696	0.1974171	-0.08233728	0.5389138
ENSG00000251562	ENSG00000081181	-0.3440323	0.1169372	-0.07219322	0.2171308	-0.1490195	0.2642334
ENSG00000245532	ENSG00000196296	0.1829846	0.4150202	0.2998054	1.608269e-07	0.4009479	0.00181435
ENSG00000251562	ENSG00000196296	0.4471923	0.03691494	0.212645	0.0002400377	0.3914862	0.002374726
ENSG00000278910	ENSG00000196296	-0.2365117	0.2892758	-0.0531083	0.3642065	0.2071572	0.1186896
ENSG00000251562	ENSG00000138376	0.252787	0.2563665	0.1214397	0.03742521	-0.1125447	0.4002733
ENSG00000229807	ENSG00000138376	0.1417187	0.5292793	0.06958217	0.2342645	-0.09451206	0.4803774
ENSG00000245694	ENSG00000078898	0.2033031	0.3641729	-0.02610415	0.6557691	-0.02820699	0.8335245
ENSG00000245532	ENSG00000096070	0.2215107	0.3218277	0.05506415	0.3467841	0.02541704	0.8497894
ENSG00000251562	ENSG00000112763	0.5486168	0.008196134	0.2093559	0.0003008692	0.1341528	0.3153864
ENSG00000268388	ENSG00000112763	-0.1383047	0.5393464	-0.0123772	0.8326307	0.08408894	0.5302827
ENSG00000260252	ENSG00000135387	-0.06763821	0.7648826	0.1378701	0.01801959	0.1465663	0.2722661
ENSG00000245694	ENSG00000114423	0.3364927	0.1257162	0.13049	0.02525493	0.1074488	0.4220785
ENSG00000251562	ENSG00000114423	0.1620541	0.4712069	0.07702962	0.1878004	0.1587807	0.2338562
ENSG00000278910	ENSG00000114423	-0.1023299	0.6504439	-0.065041	0.2662898	-0.01330412	0.9210431
ENSG00000268388	ENSG00000114423	0.03700751	0.8701218	0.02535376	0.6650554	0.007132179	0.9576241
ENSG00000245532	ENSG00000173894	-0.2690605	0.2259625	-0.1213454	0.03757453	-0.1580554	0.2360268
ENSG00000245532	ENSG00000141570	-0.2951987	0.1822911	-0.100047	0.08681568	-0.1203574	0.3681529
ENSG00000251562	ENSG00000181374	-0.2645366	0.2341646	-0.09461024	0.1054579	-0.1084355	0.4178044
ENSG00000245532	ENSG00000250506	0.3882488	0.07417197	0.3973983	1.456403e-12	0.1010701	0.4503046
ENSG00000251562	ENSG00000153879	0.3873509	0.07490178	0.02354386	0.6876626	0.09005506	0.5014073
ENSG00000231969	ENSG00000111605	0.1691004	0.4518729	0.0693497	0.2358349	0.1209996	0.3655841
ENSG00000214049	ENSG00000118260	-0.1141336	0.6130369	-0.09021097	0.1227447	0.1211432	0.3650111
ENSG00000251562	ENSG00000109846	-0.02581912	0.9091966	0.05239303	0.3707116	0.2586281	0.04996438
ENSG00000245694	ENSG00000109846	-0.1186288	0.5990259	0.06229001	0.2870863	0.07746442	0.5632786
ENSG00000268388	ENSG00000109846	-0.1096593	0.6271133	-0.04831257	0.409178	0.1145017	0.3920774
ENSG00000249492	ENSG00000101811	0.08282675	0.7140327	0.339732	2.243076e-09	0.4776187	0.0001498773
ENSG00000269925	ENSG00000101811	0.01805846	0.9364253	0.3072327	7.612265e-08	0.3994108	0.001896453
ENSG00000263843	ENSG00000177613	0.1979041	0.377319	0.4350342	5.264555e-15	0.4916443	8.883183e-05
ENSG00000249492	ENSG00000177613	-0.06529015	0.7728338	0.1803059	0.001909819	0.3362593	0.009858469
ENSG00000231969	ENSG00000177613	0.2882671	0.1932609	-0.03610677	0.5374551	-0.04263117	0.7506775
ENSG00000251562	ENSG00000111012	-0.1786704	0.4262919	0.02649675	0.6509314	-0.009209318	0.9452995
ENSG00000224596	ENSG00000128191	0.4873051	0.0214309	0.1882547	0.001181995	0.2354426	0.07521555
ENSG00000226819	ENSG00000128191	0.07806672	0.7298544	0.2212855	0.0001304403	0.1668116	0.2107395
ENSG00000236810	ENSG00000128191	0.4964256	0.0187728	0.3950864	2.011508e-12	0.1419743	0.2877352
ENSG00000246465	ENSG00000128191	0.2507152	0.2604163	0.2499894	1.442919e-05	0.294866	0.02464244
ENSG00000205885	ENSG00000128191	0.3023893	0.1713697	0.5179554	1.396985e-21	0.4631383	0.0002513032
ENSG00000249492	ENSG00000128191	0.3885425	0.07393435	0.4152924	1.097226e-13	0.3897659	0.002491747
ENSG00000232613	ENSG00000128191	-0.05107069	0.8214293	0.1982332	0.0006296762	-0.1050603	0.4325277
ENSG00000268388	ENSG00000112242	-0.139256	0.5365325	-0.04120485	0.4815541	-0.06781403	0.6129995
ENSG00000205885	ENSG00000141543	0.01777932	0.9374061	-0.05009394	0.3921026	0.2527414	0.0556044
ENSG00000177993	ENSG00000141543	0.001519094	0.9946468	-0.1258401	0.03099804	0.02871382	0.830577
ENSG00000224596	ENSG00000141543	-0.05727573	0.8001345	-0.1115357	0.05610029	-0.07777199	0.5617256
ENSG00000237200	ENSG00000141543	0.0281507	0.901034	7.38422e-06	0.9998994	-0.05197774	0.6983893
ENSG00000245711	ENSG00000141543	-0.1066225	0.6367398	-0.02295346	0.695099	0.07881176	0.5564904
ENSG00000245532	ENSG00000108515	-0.006483798	0.9771544	0.04773642	0.4147935	0.06306518	0.6381383
ENSG00000251562	ENSG00000164283	0.5342371	0.01043125	0.09629525	0.09936963	0.4032565	0.001697003
ENSG00000251562	ENSG00000189320	0.5007684	0.01760419	0.1057583	0.07018225	0.2889217	0.02783482
ENSG00000224596	ENSG00000089280	0.2824981	0.2027251	0.1318333	0.02377685	0.2995094	0.02236856
ENSG00000236810	ENSG00000089280	0.5534039	0.007546267	0.3566282	3.03243e-10	0.2867539	0.02908229
ENSG00000229337	ENSG00000089280	0.4981367	0.01830512	0.3749778	3.00728e-11	0.4226037	0.0009508063
ENSG00000263843	ENSG00000089280	0.7273879	0.0001251392	0.2795638	1.112836e-06	0.3327947	0.01069444
ENSG00000257225	ENSG00000089280	0.3403499	0.1211677	0.232755	5.592137e-05	0.3671411	0.004583589
ENSG00000228509	ENSG00000089280	0.4417894	0.03954122	0.05345014	0.3611228	0.06853116	0.6092405
ENSG00000261131	ENSG00000089280	0.06465466	0.7749896	0.2224979	0.0001195121	0.2062505	0.1203475
ENSG00000232613	ENSG00000089280	-0.044084	0.8455521	0.1396917	0.01654014	-0.04690181	0.7266311
ENSG00000215241	ENSG00000089280	0.6283343	0.001738838	0.3884074	5.041863e-12	0.4825376	0.0001250788
ENSG00000268081	ENSG00000089280	0.06363767	0.7784428	0.2296558	7.060181e-05	0.4274706	0.0008173858
ENSG00000260593	ENSG00000089280	-0.1070463	0.6353931	0.1298497	0.02598687	0.1602744	0.2294293
ENSG00000205885	ENSG00000089280	0.2197123	0.3258723	0.4530146	2.77394e-16	0.3417477	0.008650064
ENSG00000177993	ENSG00000089280	0.3741685	0.08625015	0.1684313	0.003774549	0.2639806	0.04524983
ENSG00000268388	ENSG00000119041	0.2815665	0.2042822	0.03979285	0.4967148	-0.04999755	0.709361
ENSG00000251562	ENSG00000119041	-0.02106509	0.9258666	-0.02416991	0.67981	0.1882248	0.1570818
ENSG00000245694	ENSG00000159399	0.2332026	0.2962738	0.01019448	0.8618192	-0.09150276	0.4945249
ENSG00000230836	ENSG00000159399	0.04283874	0.8498663	0.1616801	0.005457159	0.23069	0.08146971
ENSG00000267141	ENSG00000122566	0.1386041	0.5384601	0.09355144	0.1094319	0.09647465	0.4712677
ENSG00000249492	ENSG00000122566	0.4791272	0.0240636	0.3941429	2.29322e-12	0.5142158	3.644128e-05
ENSG00000269925	ENSG00000122566	0.4891439	0.02087205	0.4565377	1.526408e-16	0.2510469	0.05732025
ENSG00000268081	ENSG00000122566	-0.1742984	0.4378804	0.2404812	3.08442e-05	0.335081	0.01013618
ENSG00000259072	ENSG00000122566	0.2311553	0.3006551	0.0514763	0.379153	0.1339034	0.3162951
ENSG00000264769	ENSG00000122566	0.5607579	0.006631253	0.2170348	0.0001766112	0.2099046	0.1137726
ENSG00000205885	ENSG00000122566	0.4194756	0.05196961	0.43743	3.592286e-15	0.2977738	0.02319677
ENSG00000260252	ENSG00000122566	0.09228899	0.6829215	0.2000448	0.0005597928	0.1000545	0.4548928
ENSG00000231969	ENSG00000122566	0.4916696	0.02012356	0.03879366	0.5075942	0.11749	0.3797558
ENSG00000262905	ENSG00000122566	0.6448543	0.001194949	0.20342	0.0004483839	-0.07340067	0.5839848
ENSG00000232618	ENSG00000122566	0.2963951	0.1804416	0.184156	0.001517418	0.322565	0.01352998
ENSG00000261837	ENSG00000122566	0.3485705	0.111872	0.2199716	0.0001433382	0.3061277	0.01943603
