lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value
ENSG00000268388	ENSG00000121410	-0.05250698	0.8211712	-0.09554695	0.2496534
ENSG00000245694	ENSG00000121410	-0.2334204	0.3085244	-0.1967286	0.01692964
ENSG00000245694	ENSG00000109576	-0.1326961	0.5663738	0.06028438	0.4682499
ENSG00000245694	ENSG00000107331	-0.3858304	0.08408689	0.08696767	0.2949099
ENSG00000251562	ENSG00000107331	0.201591	0.3808751	0.3032841	0.0001884066
ENSG00000268388	ENSG00000107331	-0.1380222	0.5507514	-0.009953497	0.9047585
ENSG00000245532	ENSG00000107331	-0.4623577	0.03482991	0.181041	0.02820426
ENSG00000268388	ENSG00000103222	-0.1322305	0.5677487	0.04643538	0.5765069
ENSG00000245694	ENSG00000103222	-0.02973067	0.8982058	0.3183908	8.490895e-05
ENSG00000268388	ENSG00000108846	0.1344163	0.5613069	-0.0809883	0.3294852
ENSG00000245532	ENSG00000108846	0.819114	5.59587e-06	0.4386591	2.739252e-08
ENSG00000245694	ENSG00000108846	0.7802251	3.023135e-05	0.4558111	6.577556e-09
ENSG00000245694	ENSG00000101986	-0.01978769	0.9321549	0.04796505	0.5639983
ENSG00000245532	ENSG00000101986	-0.1524635	0.5094031	0.05458113	0.5114372
ENSG00000245694	ENSG00000033050	-0.412837	0.06288955	-0.02537923	0.7602678
ENSG00000245532	ENSG00000033050	-0.4503265	0.04050649	-0.02761635	0.7398625
ENSG00000268388	ENSG00000144827	0.2231408	0.330912	-0.04900945	0.5555328
ENSG00000245694	ENSG00000248487	-0.5334688	0.01275678	-0.001362227	0.9869351
ENSG00000268388	ENSG00000136379	-0.1069253	0.644572	-0.09526662	0.2510517
ENSG00000268388	ENSG00000166016	-0.0826376	0.7217548	-0.02088615	0.8017393
ENSG00000245694	ENSG00000102575	0.0698363	0.7635663	-0.1876231	0.02286771
ENSG00000251562	ENSG00000131069	0.005272834	0.9819026	0.06176664	0.4573621
ENSG00000245532	ENSG00000130402	0.2001857	0.3842739	0.07795137	0.3480025
ENSG00000251562	ENSG00000130402	0.2151286	0.3490124	0.1202466	0.1468534
ENSG00000245532	ENSG00000151651	0.2134252	0.3529336	0.3179606	8.690976e-05
ENSG00000245694	ENSG00000143382	0.2600534	0.2549259	0.194336	0.01834318
ENSG00000245532	ENSG00000143382	0.2261984	0.3241546	0.176952	0.03202785
ENSG00000225937	ENSG00000160710	0.0003812309	0.9986914	-0.03776132	0.6497675
ENSG00000268388	ENSG00000123146	-0.04574477	0.8439096	-0.02632152	0.751652
ENSG00000268388	ENSG00000111863	-0.08669905	0.7086412	-0.05192492	0.5322315
ENSG00000268388	ENSG00000196526	-0.08349519	0.7189794	0.06918377	0.4050443
ENSG00000268388	ENSG00000146856	0.02932515	0.8995875	-0.03406747	0.6820708
ENSG00000268388	ENSG00000164252	0.07200813	0.7564243	0.08129971	0.3276228
ENSG00000245694	ENSG00000188157	0.4186366	0.05892175	0.2966827	0.0002633812
ENSG00000268388	ENSG00000177674	-0.1009628	0.6632324	-0.1257618	0.1290657
ENSG00000251562	ENSG00000135541	0.2973584	0.1905091	0.4316811	4.786949e-08
ENSG00000245532	ENSG00000129474	0.1315662	0.5697129	0.08036448	0.3332364
ENSG00000268388	ENSG00000162433	0.5074825	0.01885731	0.1586238	0.05498935
ENSG00000245694	ENSG00000162433	0.5750564	0.006388592	0.2713763	0.0008848414
ENSG00000268388	ENSG00000162482	0.2600155	0.2549978	-0.01101993	0.8946102
ENSG00000251562	ENSG00000204673	0.003675173	0.9873856	0.03381269	0.6843212
ENSG00000245532	ENSG00000204673	-0.3415383	0.129702	0.1501465	0.06949432
ENSG00000268388	ENSG00000172339	0.2051704	0.3722955	0.0809735	0.3295739
ENSG00000251562	ENSG00000120697	-0.1171046	0.6131896	-0.1267411	0.126088
ENSG00000242808	ENSG00000091542	0.2314659	0.3127084	0.1441179	0.08159199
ENSG00000249249	ENSG00000091542	0.09399684	0.6852784	0.1982237	0.01609519
ENSG00000175061	ENSG00000091542	0.4754502	0.02938158	0.292765	0.0003201089
ENSG00000175061	ENSG00000091542	0.4754502	0.02938158	0.292765	0.0003201089
ENSG00000260464	ENSG00000091542	0.5481266	0.01009586	0.3528324	1.169722e-05
ENSG00000261188	ENSG00000091542	0.591455	0.00474296	0.4486247	1.20732e-08
ENSG00000261824	ENSG00000091542	0.8895156	6.903603e-08	0.4360799	3.371899e-08
ENSG00000214719	ENSG00000091542	0.7828976	2.722002e-05	0.4451808	1.607232e-08
ENSG00000268388	ENSG00000125652	-0.08183907	0.7243421	0.009602002	0.9081068
ENSG00000245532	ENSG00000145362	-0.1211061	0.6010255	-0.1950371	0.01791878
ENSG00000251562	ENSG00000254996	0.3785423	0.09062351	0.5741338	2.907372e-14
ENSG00000251562	ENSG00000134461	-0.03588024	0.8772906	0.1299391	0.1167326
ENSG00000268388	ENSG00000213337	-0.1073675	0.6431959	0.123505	0.1361331
ENSG00000245532	ENSG00000213337	-0.1895178	0.410624	0.2525731	0.002026351
ENSG00000245694	ENSG00000213337	-0.3494398	0.1204951	0.1971162	0.01670979
ENSG00000245694	ENSG00000100124	-0.3889562	0.08139338	-0.02678743	0.7474031
ENSG00000245532	ENSG00000185101	0.8545978	8.138276e-07	0.520728	1.371574e-11
ENSG00000251562	ENSG00000163297	0.02620774	0.9102179	0.1201096	0.1473178
ENSG00000245694	ENSG00000109511	0.6952019	0.0004682309	0.4656636	2.795128e-09
ENSG00000268388	ENSG00000109511	0.3284681	0.1460139	-0.04869473	0.5580773
ENSG00000268388	ENSG00000182718	-0.09526079	0.6812592	-0.1347399	0.1037123
ENSG00000245532	ENSG00000182718	0.335112	0.1375513	0.2710755	0.0008970732
ENSG00000268388	ENSG00000125843	-0.01611769	0.9447174	0.0765091	0.3570215
ENSG00000251562	ENSG00000166313	0.1731518	0.4528988	0.1773011	0.03168508
ENSG00000245694	ENSG00000105290	-0.3926251	0.0783145	-0.1111115	0.1803078
ENSG00000268388	ENSG00000105290	-0.01305442	0.9552129	-0.03644286	0.6612269
ENSG00000245532	ENSG00000130208	0.3198058	0.157588	-0.1420852	0.086033
ENSG00000251562	ENSG00000130208	0.01538722	0.9472194	-0.0804028	0.3330051
ENSG00000268388	ENSG00000137074	0.07031829	0.7619797	0.01436666	0.8628806
ENSG00000268388	ENSG00000165272	-0.133918	0.5627725	-0.03760164	0.651151
ENSG00000251562	ENSG00000165272	0.01689585	0.9420526	-0.02545755	0.7595506
ENSG00000245910	ENSG00000169083	-0.2520249	0.270412	-0.2243126	0.006308031
ENSG00000182165	ENSG00000169083	-0.4486107	0.04137144	-0.1479661	0.07368937
ENSG00000253738	ENSG00000169083	-0.1037577	0.6544608	0.4285482	6.12542e-08
ENSG00000238197	ENSG00000169083	-0.2041625	0.3747001	0.4003818	5.041009e-07
ENSG00000177640	ENSG00000169083	-0.3891439	0.0812337	0.3010166	0.0002115727
ENSG00000197989	ENSG00000169083	-0.07087921	0.7601344	-0.3586101	8.193695e-06
ENSG00000264575	ENSG00000169083	-0.3807433	0.08861117	0.2387842	0.00358383
ENSG00000226950	ENSG00000169083	-0.5793453	0.005918498	-0.150729	0.06840697
ENSG00000255794	ENSG00000169083	-0.4019653	0.07086965	-0.04975204	0.5495513
ENSG00000175611	ENSG00000169083	-0.1443721	0.5323852	0.3041203	0.000180476
ENSG00000236790	ENSG00000169083	-0.1849942	0.4220877	-0.1134395	0.1712935
ENSG00000245694	ENSG00000081181	-0.2974463	0.1903718	-0.2017729	0.01425617
