lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000245694	ENSG00000121410	0.4316388	8.873643e-05	0.4340505	8.429565e-08	0.3176271	2.43637e-05	-0.007979441	0.9711752
ENSG00000245694	ENSG00000128274	-0.1436767	0.2125382	0.05700781	0.5034811	-0.2352049	0.002018456	-0.3005877	0.1634221
ENSG00000245694	ENSG00000109576	0.02727315	0.8138593	0.2285813	0.006599159	0.1220862	0.1127386	0.1880899	0.390091
ENSG00000245694	ENSG00000008311	0.1833372	0.1104834	0.5501942	1.90191e-12	0.4257718	7.110468e-09	0.1761449	0.4214156
ENSG00000245694	ENSG00000107331	-0.1246319	0.2801555	0.04566303	0.5921467	0.08919151	0.2474187	-0.1485081	0.4988711
ENSG00000245694	ENSG00000135776	0.1773209	0.1228822	0.4368969	6.783879e-08	0.5292189	1.177381e-13	0.2795373	0.1964308
ENSG00000245694	ENSG00000005471	-0.1118071	0.3329964	-0.1008761	0.2356581	-0.03460519	0.6541519	-0.2679278	0.2164467
ENSG00000245694	ENSG00000103222	-0.2230376	0.05120327	-0.00681329	0.9363215	0.1038136	0.1779094	-0.1727013	0.4306931
ENSG00000245694	ENSG00000108846	-0.213872	0.06180437	-0.09359313	0.2713771	-0.2644824	0.0004916614	-0.2436243	0.2626254
ENSG00000245694	ENSG00000069431	-0.1285272	0.2652783	0.05026509	0.5553345	0.0575322	0.4561441	-0.03033729	0.8907067
ENSG00000251562	ENSG00000069431	-0.08635981	0.4551806	0.1756848	0.03786893	0.05919595	0.443201	0.1031312	0.6395916
ENSG00000245694	ENSG00000101986	-0.1557101	0.1762902	-0.1292169	0.1281109	-0.2175044	0.004383228	-0.1318413	0.5487359
ENSG00000245694	ENSG00000164163	0.2699667	0.01757413	0.3643507	9.621902e-06	0.4371733	2.511949e-09	0.2979132	0.1673854
ENSG00000245694	ENSG00000204574	0.03687289	0.750201	-0.06876496	0.4194939	0.2339908	0.002132664	0.2043135	0.3497229
ENSG00000245694	ENSG00000033050	-0.06745631	0.5599542	0.02488558	0.7703971	0.01960966	0.7996372	-0.06157089	0.7801824
ENSG00000245694	ENSG00000161204	-0.2813696	0.01317785	-0.007247599	0.9322717	-0.0431099	0.5767099	-0.266822	0.2184215
