lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000268388	ENSG00000175899	0.6536291	1.118886e-07	0.6721922	6.613954e-16	0.603158	3.138158e-16	0.8129145	5.656565e-10
ENSG00000251562	ENSG00000175899	0.05948578	0.6722139	-0.06672847	0.4865254	-0.01921212	0.8154876	-0.02163878	0.8973976
ENSG00000251562	ENSG00000094914	-0.3078273	0.02493977	-0.3051907	0.001125744	-0.3073968	0.0001300303	-0.07585082	0.65083
ENSG00000251562	ENSG00000081760	-0.1048686	0.4548737	-0.2308476	0.01478436	-0.05315404	0.5182714	0.3899868	0.01550184
ENSG00000245694	ENSG00000109576	0.03115434	0.8247402	-0.04849904	0.61322	0.2457936	0.0024309	0.4864505	0.001956808
ENSG00000251562	ENSG00000103591	-0.2966724	0.03099559	-0.1780858	0.06148544	-0.2969784	0.0002238874	0.1277634	0.4446183
ENSG00000251562	ENSG00000165029	0.1866773	0.1807581	-0.1106649	0.247565	-0.08507724	0.3006033	-0.07928994	0.6360743
ENSG00000251562	ENSG00000107331	0.03715823	0.7916592	-0.09953125	0.2986468	-0.003913565	0.9620905	0.5514733	0.0003323951
ENSG00000251562	ENSG00000154265	0.3214792	0.01891095	0.2331274	0.01380204	0.2474443	0.002266953	0.4214274	0.008412043
ENSG00000268388	ENSG00000154262	0.6260556	5.345923e-07	0.5045495	1.639448e-08	0.5077033	3.331644e-11	0.7066367	7.121992e-07
ENSG00000251562	ENSG00000141338	0.1452009	0.2995575	0.1233516	0.1971165	0.1211036	0.139879	0.02150115	0.8980468
ENSG00000251562	ENSG00000023839	-0.1702577	0.2228967	0.1191096	0.2130838	0.0183909	0.8232427	-0.1168901	0.4846206
ENSG00000245694	ENSG00000069431	-0.2812139	0.04136859	-0.2460197	0.009247392	-0.205692	0.01156358	-0.1035657	0.5360725
ENSG00000251562	ENSG00000069431	0.1344046	0.3373013	0.08900898	0.3528902	0.1480701	0.07056109	0.00239905	0.9885949
ENSG00000251562	ENSG00000140526	-0.08962474	0.5233397	-0.09054979	0.3445847	-0.02308605	0.7791574	0.2791668	0.08963146
ENSG00000245532	ENSG00000108798	-0.2121254	0.127288	-0.3207666	0.0005982717	-0.1782079	0.02912209	-0.3114213	0.05701018
ENSG00000251562	ENSG00000143322	0.1128571	0.4210529	0.03157848	0.7421437	0.07818011	0.341628	0.3758474	0.02004678
ENSG00000251562	ENSG00000099204	0.08931801	0.524768	-0.01594843	0.8680502	-0.1174844	0.152198	0.5116059	0.001027285
ENSG00000251562	ENSG00000278540	-0.1294814	0.3554554	-0.1110918	0.2457346	-0.07290477	0.3752897	0.2624	0.1114884
ENSG00000251562	ENSG00000177646	-0.2105334	0.1302351	-0.1783677	0.0610688	-0.3326872	3.188036e-05	0.297804	0.0693837
ENSG00000251562	ENSG00000072778	-0.1124246	0.4228463	-0.2227172	0.01879866	-0.04787361	0.5607295	-0.03332365	0.842565
ENSG00000251562	ENSG00000107897	0.07667807	0.5852596	0.06608901	0.4907208	-0.06361179	0.4393162	0.1628353	0.3286718
ENSG00000251562	ENSG00000078124	0.2735294	0.04750008	0.07285635	0.4473079	-0.03031977	0.7126361	0.3034192	0.06404783
ENSG00000251562	ENSG00000087085	0.05948559	0.6722148	0.04347926	0.6504686	0.07587332	0.3561052	0.1603875	0.3360929
ENSG00000251562	ENSG00000100813	0.1452816	0.2992862	-0.108863	0.2553948	-0.04989091	0.5443139	0.4894254	0.001817801
ENSG00000251562	ENSG00000131473	-0.04306142	0.7594839	-0.22095	0.01978606	0.01196679	0.8844411	0.1787085	0.2830451
ENSG00000251562	ENSG00000100412	-0.1368345	0.3285583	-0.3072757	0.001036434	-0.378607	1.77717e-06	0.4029793	0.01212346
ENSG00000251562	ENSG00000143727	-0.1051065	0.4538457	-0.1489273	0.1187604	-0.2656217	0.001019123	0.01283266	0.9390481
ENSG00000251562	ENSG00000134575	-0.02307442	0.8697308	-0.2477188	0.008758871	-0.2828491	0.000453024	-0.104336	0.5330282
ENSG00000251562	ENSG00000176715	-0.2431855	0.07931959	-0.2045703	0.03126247	-0.1311131	0.1097584	0.4673144	0.003095612
ENSG00000251562	ENSG00000131069	-0.0953978	0.4968224	-0.2543015	0.00707418	-0.2533301	0.001760731	-0.01769592	0.9160194
ENSG00000251562	ENSG00000107796	0.1754789	0.2088179	0.068481	0.4751259	0.1703234	0.03717584	-0.07539676	0.6527882
ENSG00000251562	ENSG00000130402	-0.06822234	0.6274003	-0.1148048	0.2302081	-0.1622209	0.04733073	0.2851513	0.08268706
ENSG00000251562	ENSG00000115073	-0.0620951	0.6587017	-0.2802597	0.002889635	-0.2291025	0.004801518	0.2109225	0.2036797
