lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000268388	ENSG00000121410	-0.03487314	0.55906	0.1966802	0.1622642	0.05343796	0.5757592	0.3035978	0.02424016
ENSG00000268388	ENSG00000175899	0.486262	3.34283e-18	0.2398609	0.0867645	0.5576627	1.691063e-10	0.2273973	0.09499041
ENSG00000251562	ENSG00000175899	0.1468519	0.01340148	-0.0645789	0.6492244	0.2796795	0.002822078	0.1709126	0.2121731
ENSG00000251562	ENSG00000081760	0.1742321	0.003275888	0.1329075	0.3475832	0.3333675	0.0003284482	0.5193117	4.853473e-05
ENSG00000245694	ENSG00000109576	0.2301606	9.331442e-05	0.06685947	0.6376851	0.1002114	0.293126	0.1012401	0.4620568
ENSG00000245532	ENSG00000103591	-0.1100882	0.06440031	-0.2365641	0.09131921	0.04258875	0.6556962	-0.09559757	0.4875073
ENSG00000251562	ENSG00000103591	0.06932802	0.2450263	0.01388804	0.922156	0.3234391	0.0005041409	0.3054717	0.02333457
ENSG00000245694	ENSG00000008311	0.3002012	2.646615e-07	0.2585371	0.06422441	0.2462851	0.008853846	0.4059108	0.002107006
ENSG00000268388	ENSG00000275700	0.1814083	0.002186082	0.2394637	0.08730369	0.1600363	0.09188308	0.0761029	0.580789
ENSG00000245532	ENSG00000181409	0.319938	3.718935e-08	0.3570572	0.009364375	0.476067	1.12519e-07	0.4318836	0.0009931628
ENSG00000268388	ENSG00000183044	0.2054142	0.0005061827	0.2853058	0.04034645	0.4132726	5.933299e-06	0.1658419	0.226253
ENSG00000251562	ENSG00000165029	0.1911209	0.001234647	0.02719827	0.8482145	0.34747	0.0001742553	0.4952745	0.0001208691
ENSG00000268388	ENSG00000165029	0.1448626	0.01472556	0.1318938	0.3513055	0.296711	0.001489488	0.229863	0.09136452
ENSG00000268388	ENSG00000107331	0.0991648	0.09592616	0.3243532	0.01898121	0.3669128	6.915234e-05	0.1220699	0.3746334
ENSG00000268388	ENSG00000167972	0.1032361	0.08298057	0.1815616	0.1976869	0.2078822	0.02784779	-0.07576712	0.5824641
ENSG00000251562	ENSG00000154265	0.466105	1.140485e-16	0.3198107	0.02082235	0.6305392	9.318215e-14	0.7630558	1.270201e-11
ENSG00000245532	ENSG00000154265	0.3521684	1.097651e-09	0.422823	0.001791472	0.4204442	3.922937e-06	0.6159347	5.572901e-07
ENSG00000268388	ENSG00000154262	0.3144719	6.497024e-08	0.1479676	0.2951699	0.2019302	0.03275283	0.1284128	0.3501301
ENSG00000268388	ENSG00000064687	0.3201541	3.636955e-08	0.1117321	0.4303463	0.1874634	0.04778743	0.2802176	0.03825318
ENSG00000268388	ENSG00000141338	0.2627222	7.498011e-06	0.2681931	0.05456361	0.7015682	6.973806e-18	0.1447408	0.2917295
ENSG00000245532	ENSG00000197150	-0.004329724	0.9421919	-0.1106693	0.4347721	0.04117905	0.6664014	0.165382	0.2275614
