lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000245694	ENSG00000121410	0.1221163	0.0243314	-0.06483378	0.6479306	-0.04148999	0.6472895	0.175355	0.3628985
ENSG00000245694	ENSG00000128274	-0.03577317	0.51092	0.09208546	0.5161592	-0.03333747	0.7131917	0.01407643	0.9422256
ENSG00000251562	ENSG00000081760	-0.05105869	0.3479254	-0.2604977	0.06215946	-0.09437997	0.2971075	-0.2577797	0.1769932
ENSG00000245694	ENSG00000109576	0.4247649	2.511071e-16	0.3111201	0.02476689	0.6124373	4.078212e-14	-0.1923157	0.3175691
ENSG00000245694	ENSG00000008311	0.2466387	4.177747e-06	0.3773532	0.005820106	0.2273675	0.01109894	0.06428764	0.7404072
ENSG00000268388	ENSG00000275700	-0.1130336	0.0372292	-0.04988015	0.7254639	-0.0433761	0.6324017	-0.2740566	0.1502542
ENSG00000245532	ENSG00000181409	0.02503863	0.6454721	-0.08910792	0.5298744	0.06465311	0.475597	0.04366692	0.822044
ENSG00000245694	ENSG00000107331	0.001117752	0.983617	-0.05616173	0.6925067	-0.08758086	0.333423	0.1015763	0.6000678
ENSG00000268388	ENSG00000167972	-0.1084581	0.04567302	-0.1148876	0.4173555	-0.1034484	0.2528907	-0.1623711	0.4000464
ENSG00000268388	ENSG00000064687	0.009273666	0.8647177	0.2107795	0.1336372	-0.00535707	0.9529122	-0.1721226	0.3719503
ENSG00000245694	ENSG00000135776	0.3821291	2.898722e-13	0.1530356	0.278753	0.4649461	5.320381e-08	0.107026	0.5805431
ENSG00000245694	ENSG00000005471	-0.06322797	0.2449365	-0.14389	0.3088252	-0.05616213	0.5355538	-0.2905797	0.1262148
ENSG00000245694	ENSG00000103222	-0.0529721	0.330134	-0.05942646	0.6755938	0.00823436	0.9276779	-0.2411196	0.207654
ENSG00000245694	ENSG00000108846	-0.1015276	0.06148136	-0.1425169	0.3135131	-0.01750469	0.8469867	-0.01002689	0.9588295
ENSG00000245694	ENSG00000069431	0.05291424	0.3306632	0.03374438	0.8122794	0.05334256	0.5562632	0.1949115	0.3109551
ENSG00000245694	ENSG00000101986	-0.1788075	0.0009275334	-0.2298036	0.1012404	-0.2317852	0.009589596	-0.1721488	0.3718765
ENSG00000245532	ENSG00000101986	-0.008788342	0.8717348	-0.06462166	0.6490072	-0.02476182	0.7848645	0.3426945	0.06878285
ENSG00000245694	ENSG00000164163	0.2194507	4.475964e-05	0.2193151	0.1182538	0.161663	0.07284672	-0.1757598	0.3617743
ENSG00000245694	ENSG00000204574	-0.1121475	0.03875232	0.03686598	0.7952725	-0.1277059	0.1575192	-0.2083136	0.2781834
ENSG00000245694	ENSG00000033050	-0.01992468	0.7143082	-0.07015905	0.62114	-0.04412954	0.626495	-0.3059266	0.1065351
ENSG00000245694	ENSG00000161204	-0.01828653	0.736891	0.4014138	0.003183782	-0.1428647	0.1134457	-0.1741397	0.3662866
ENSG00000245694	ENSG00000248487	-0.0845873	0.1195275	-0.06287013	0.6579244	-0.04100309	0.6511558	-0.01617227	0.933641
ENSG00000268388	ENSG00000114779	0.06830567	0.2089986	-0.003962549	0.977758	0.1165038	0.1975423	0.01052536	0.9567846
ENSG00000245694	ENSG00000107362	0.2813665	1.320321e-07	0.1732967	0.2192206	0.3455382	8.474915e-05	-0.1732062	0.3689015
ENSG00000268388	ENSG00000011198	-0.07129908	0.1896828	-0.06737499	0.6350882	-0.05135112	0.5711189	-0.320294	0.09028012
ENSG00000268388	ENSG00000138443	-0.08739624	0.1076925	-0.1686731	0.2319547	-0.02846044	0.7536913	-0.03614247	0.852341
ENSG00000245694	ENSG00000097007	0.1200169	0.02690758	0.1183597	0.4033241	0.2282488	0.01078219	-0.02576671	0.8944495
ENSG00000245694	ENSG00000143322	0.3066988	7.733591e-09	0.07930556	0.5762572	0.08470125	0.3496218	-0.1726927	0.3703445
ENSG00000245532	ENSG00000159842	-0.1210394	0.02562498	-0.1024864	0.4696911	-0.05478462	0.5456234	-0.1877966	0.3292891
ENSG00000245694	ENSG00000159842	0.1057606	0.05136527	0.2773671	0.04650829	0.2139124	0.01705197	0.06330039	0.7442611
ENSG00000268388	ENSG00000159842	-0.008915707	0.8698923	0.01622571	0.9091043	0.1811804	0.04402993	-0.2781461	0.1440194
ENSG00000245694	ENSG00000146386	0.3709059	1.57563e-12	0.3694625	0.007026819	0.2884285	0.001159734	0.03111431	0.8727047
ENSG00000245694	ENSG00000278540	0.1231896	0.02309874	0.1766491	0.2102974	0.07607085	0.4010611	-0.03307044	0.8647723
ENSG00000245694	ENSG00000151498	0.2932638	3.604619e-08	0.4123309	0.002385722	0.2704891	0.002378516	-0.168596	0.381975
ENSG00000245694	ENSG00000177646	-0.02610208	0.6315062	0.1507663	0.2860282	0.04246449	0.6395794	-0.09798395	0.613089
ENSG00000245532	ENSG00000072778	-0.05192868	0.3397621	0.04537735	0.7493998	-0.1099323	0.2241969	0.154133	0.4246915
ENSG00000251562	ENSG00000072778	-0.06099896	0.2620037	-0.009242431	0.9481507	-0.1334001	0.1396633	-0.05585078	0.7735302
ENSG00000245694	ENSG00000120437	0.06847654	0.2078592	0.2043347	0.1462126	0.2411813	0.006966598	-0.1100749	0.5697438
ENSG00000245694	ENSG00000078124	0.05082289	0.3501592	0.01843947	0.8967662	0.1627493	0.07091733	-0.2207483	0.2498389
ENSG00000251562	ENSG00000087085	-0.006900679	0.8991184	0.02029972	0.8864169	-0.02297925	0.8000147	0.4192317	0.02358913
ENSG00000245532	ENSG00000087085	0.002562342	0.9624548	0.4128161	0.002354795	-0.02068239	0.8196453	0.241916	0.2061106
ENSG00000268388	ENSG00000097021	-0.1228297	0.02350586	-0.1102059	0.43671	-0.1401612	0.12051	-0.2039893	0.2885052
ENSG00000245694	ENSG00000102575	-0.1575402	0.003586542	-0.149847	0.2890101	-0.125577	0.1646164	-0.2479766	0.1946229
ENSG00000245694	ENSG00000111644	0.08861389	0.1028582	0.1658021	0.2401133	-0.1858339	0.0387873	-0.1872255	0.3307889
ENSG00000251562	ENSG00000176715	-0.04859786	0.3716815	0.08711497	0.5391536	-0.1650677	0.06693821	-0.3866223	0.03828536
ENSG00000245532	ENSG00000176715	-0.1037198	0.05605452	0.06127367	0.6660935	-0.1572939	0.08103906	-0.2409877	0.2079103
ENSG00000245694	ENSG00000123983	0.2844785	9.456189e-08	0.2862557	0.03965641	0.2879452	0.001183128	-0.03034022	0.8758472
ENSG00000268388	ENSG00000197142	0.2231633	3.292145e-05	0.5537388	2.06028e-05	0.2056793	0.02192227	0.2423063	0.2053571
ENSG00000245694	ENSG00000138107	0.01908083	0.7259114	0.06934103	0.6252249	0.02066792	0.8197693	-0.1793388	0.3519234
ENSG00000245694	ENSG00000138071	0.2144234	6.72912e-05	0.2095904	0.1358942	0.09287995	0.3048858	-0.3025678	0.1106323
ENSG00000268388	ENSG00000115091	-0.1219867	0.02448401	-0.05071706	0.7210428	-0.2248483	0.01204977	-0.191171	0.3205129
ENSG00000245694	ENSG00000115091	0.04009562	0.4611829	0.2236236	0.1110195	-0.02174994	0.8105066	-0.3175478	0.09323164
ENSG00000245694	ENSG00000184378	-0.0524156	0.3352469	0.23951	0.08724076	-0.06686622	0.4605897	-0.2343339	0.2211249
ENSG00000245694	ENSG00000121989	0.1678512	0.001898372	0.3756991	0.00605687	0.02084105	0.8182855	-0.3324352	0.07807368
ENSG00000245694	ENSG00000196839	-0.1915067	0.000383585	-0.1188965	0.4011796	-0.2054695	0.0220606	-0.2113272	0.271132
ENSG00000245694	ENSG00000148848	-0.002546735	0.9626833	0.005835248	0.9672512	0.05092582	0.5743154	-0.05659835	0.7705785
ENSG00000251562	ENSG00000151388	0.17207	0.001447957	-0.006181497	0.9653092	0.2258177	0.01167577	-0.1695733	0.3791815
ENSG00000245694	ENSG00000160323	0.03487261	0.5216227	0.008882712	0.9501661	-0.0130558	0.885566	-0.1780641	0.3554134
ENSG00000278910	ENSG00000145536	-0.01936315	0.7220223	0.04056455	0.7752444	-0.05574322	0.5386062	-0.02688742	0.8898857
ENSG00000245694	ENSG00000087116	-0.1082828	0.04602619	0.00191003	0.9892779	-0.08458982	0.3502585	-0.2098163	0.2746527
ENSG00000251562	ENSG00000163638	0.01596045	0.7693456	-0.07756753	0.5846709	0.7326501	4.010937e-22	-0.07849027	0.6856865
ENSG00000268388	ENSG00000163638	-0.05474343	0.3141961	-0.03939369	0.7815697	-0.05503706	0.5437711	-0.0749052	0.6993658
ENSG00000245694	ENSG00000143382	-0.02252081	0.6790306	0.1439015	0.3087861	-0.169816	0.05935448	0.006220907	0.9744503
ENSG00000245532	ENSG00000143382	0.04222976	0.4376563	0.2055471	0.1437821	0.2887742	0.001143255	-0.1852511	0.3360054
ENSG00000245694	ENSG00000065457	0.2535696	2.179766e-06	0.6087627	1.68239e-06	0.3659123	2.924795e-05	-0.1270723	0.5112611
ENSG00000251562	ENSG00000213638	-0.07023286	0.1964068	-0.2844664	0.04096443	-0.09904816	0.2737458	-0.2312433	0.2274518
ENSG00000251562	ENSG00000063761	-0.09106265	0.09365728	-0.1231138	0.3845631	-0.2340402	0.00889127	-0.2711035	0.1548754
ENSG00000245532	ENSG00000129467	-0.03069938	0.5726746	0.1616864	0.2521476	-0.02567819	0.7771071	0.1479906	0.4435983
ENSG00000251562	ENSG00000129467	-0.0290201	0.5938633	0.06072155	0.6689277	-0.0269261	0.7665783	-0.04744946	0.8069049
ENSG00000245694	ENSG00000020181	-0.106728	0.04925941	0.20801	0.1389378	0.06651371	0.4629625	-0.1839588	0.339447
ENSG00000245694	ENSG00000205336	-0.03845674	0.4797173	0.07616669	0.5914923	-0.03964708	0.6619722	0.04413825	0.820154
ENSG00000245694	ENSG00000182551	0.2187377	4.745137e-05	0.07697494	0.5875521	-0.02290968	0.8006076	0.04431368	0.8194508
ENSG00000240498	ENSG00000159346	0.0699538	0.1981951	-0.2835538	0.04164515	-0.06095892	0.5012267	0.243228	0.2035853
ENSG00000245694	ENSG00000156110	0.2181433	4.981176e-05	0.3074229	0.02662582	0.1467955	0.1037547	0.0875217	0.6516618
ENSG00000245532	ENSG00000163485	-0.03969731	0.4656505	-0.02163997	0.8789721	0.006468779	0.9431554	0.009873228	0.9594599
ENSG00000245694	ENSG00000163485	-0.1641514	0.002395197	-0.2349737	0.09358215	-0.03728834	0.6809529	0.2461931	0.1979565
ENSG00000245694	ENSG00000170222	0.1935039	0.0003321089	0.1852853	0.1884926	0.2603451	0.003497481	-0.1041377	0.590856
ENSG00000251562	ENSG00000170214	-0.01271408	0.8153093	-0.1073985	0.4485522	-0.002997851	0.973639	-0.1112108	0.5657435
ENSG00000268388	ENSG00000169252	0.08384372	0.1228244	-0.1118545	0.4298382	-0.06582791	0.4675978	-0.0365439	0.8507191
ENSG00000251562	ENSG00000130706	-0.07033884	0.1957308	0.2005516	0.1539919	-0.1051975	0.2449125	-0.3045719	0.1081738
ENSG00000245532	ENSG00000130706	-0.1298549	0.01658683	-0.09311817	0.5114443	-0.1095252	0.2259278	-0.4044158	0.02955771
ENSG00000245694	ENSG00000106624	-0.2506649	2.869617e-06	-0.1388309	0.3263211	-0.1996982	0.02617049	-0.2949571	0.1203486
ENSG00000245694	ENSG00000181026	0.1144739	0.0348617	0.1016036	0.4735462	0.1015648	0.26168	0.07424054	0.7019122
ENSG00000268388	ENSG00000144218	0.1858871	0.0005709784	0.14698	0.2984407	-0.01151171	0.8990236	0.1025546	0.5965422
ENSG00000251562	ENSG00000141385	0.02580274	0.6354245	-0.2927496	0.03519445	0.1032552	0.2537824	-0.4180531	0.02402456
ENSG00000251562	ENSG00000165923	-0.0068141	0.9003775	-0.03129883	0.8256637	0.1666774	0.06428348	0.06437618	0.7400619
ENSG00000268388	ENSG00000123908	-0.1143201	0.03510825	-0.04800093	0.7354233	-0.1166543	0.1969601	-0.0331025	0.8646424
ENSG00000251562	ENSG00000123908	0.1339021	0.01347064	-0.1212721	0.3917687	0.7090654	3.115879e-20	-0.3718922	0.04697694
ENSG00000268388	ENSG00000204310	-0.07535138	0.1656659	-0.04721363	0.7396088	-0.1313909	0.1457792	-0.1905123	0.3222147
ENSG00000251562	ENSG00000204310	-0.02499125	0.6460973	-0.2478422	0.07647358	-0.05692832	0.5299933	-0.4050535	0.02927781
ENSG00000245694	ENSG00000204310	-0.02923834	0.5910896	-0.04334511	0.7602814	-0.1485823	0.09957022	-0.07007914	0.717926
ENSG00000245694	ENSG00000188157	-0.123013	0.02329776	0.05686216	0.6888653	-0.2664446	0.002778643	-0.2569834	0.1783819
ENSG00000245694	ENSG00000135049	0.2291949	1.976552e-05	0.2457467	0.07907712	0.2757026	0.001939785	-0.06092128	0.7535728
ENSG00000130600	ENSG00000101444	0.1491651	0.005855364	0.1784011	0.2057369	0.1972071	0.02813699	-0.09235447	0.6337269
ENSG00000268388	ENSG00000185567	-0.08821804	0.1044106	0.3144663	0.02317959	-0.1394034	0.1225499	-0.258763	0.175289
ENSG00000245532	ENSG00000185567	0.03924456	0.4707577	0.1717554	0.2234102	0.08809954	0.3305569	0.002822377	0.9884068
ENSG00000245694	ENSG00000106546	0.1839761	0.0006520099	0.2417374	0.08425271	0.05463049	0.5467558	-0.4496824	0.01438767
ENSG00000245694	ENSG00000063438	0.1049638	0.05315575	0.1154368	0.4151178	-0.04688711	0.6050797	0.1184745	0.5404697
ENSG00000245694	ENSG00000156709	0.1574892	0.003597521	0.2815421	0.04317839	0.1063895	0.2395762	-0.2178309	0.2563113
ENSG00000245694	ENSG00000042286	-0.02803566	0.6064485	-0.02613299	0.8540935	0.07370374	0.4159169	-0.317176	0.0936368
ENSG00000245694	ENSG00000164022	0.2518269	2.571752e-06	0.2892377	0.03755288	0.1845085	0.04022417	-0.312204	0.09918342
ENSG00000245694	ENSG00000160224	-0.06147717	0.2582749	0.2382024	0.08903307	-0.09613876	0.2881557	-0.2567376	0.1788121
ENSG00000245532	ENSG00000129474	0.01496825	0.7833163	0.1207124	0.3939739	0.1728958	0.05482314	-0.2574841	0.1775079
ENSG00000245694	ENSG00000162433	0.228838	2.037913e-05	0.3208417	0.02039175	0.1899456	0.03460081	0.3728894	0.04634305
ENSG00000245694	ENSG00000154027	0.02054585	0.7058084	0.1167793	0.4096764	0.1935488	0.03125194	-0.0176093	0.9277591
ENSG00000245694	ENSG00000131016	-0.08929126	0.1002442	-0.02859766	0.8405041	0.003447929	0.9696831	-0.1595314	0.4084485
ENSG00000245694	ENSG00000011243	-0.01722517	0.7516457	0.2454244	0.07948367	-0.09753331	0.2811868	-0.2171867	0.2577552
ENSG00000245694	ENSG00000166452	0.1341846	0.01327374	0.03433901	0.8090328	0.2283381	0.01075053	0.1222224	0.5276412
ENSG00000268388	ENSG00000085662	-0.1182723	0.02922338	-0.2141893	0.1273211	-0.1590103	0.07773664	0.007730591	0.9682527
ENSG00000268388	ENSG00000162482	-0.01301097	0.8110768	0.09789289	0.4899322	-0.06281779	0.4882406	-0.0193946	0.920457
ENSG00000130600	ENSG00000142208	0.04714746	0.3861411	-0.105171	0.4580725	-0.002240487	0.9802972	-0.02873159	0.8823832
ENSG00000251562	ENSG00000105221	-0.06726559	0.2160314	-0.1125682	0.4268821	-0.02665906	0.7688279	-0.3618739	0.05373339
ENSG00000245694	ENSG00000166971	0.2816449	1.281693e-07	0.3702111	0.00690367	0.2082353	0.02029611	0.1175216	0.5437548
ENSG00000245694	ENSG00000165092	-0.0175227	0.7475001	0.150951	0.2854312	0.04282177	0.6367623	-0.1047714	0.5885866
ENSG00000245694	ENSG00000184254	0.04538389	0.4041763	0.2002592	0.1546056	0.06677868	0.4611784	0.2019001	0.2935781
ENSG00000268388	ENSG00000184254	0.3007398	1.545601e-08	0.2185694	0.1195416	0.2249918	0.01199378	-0.14938	0.4392825
ENSG00000245694	ENSG00000006534	0.04279981	0.4314905	-0.002320564	0.9869735	-0.1277278	0.1574473	-0.03922074	0.839919
ENSG00000245532	ENSG00000132746	-0.004883238	0.9285166	-0.1933495	0.1696376	-0.07980805	0.3782579	-0.007605276	0.9687671
ENSG00000268388	ENSG00000119711	-0.04792832	0.3783144	0.04467947	0.7531312	-0.04627112	0.6098354	-0.3320322	0.0784573
ENSG00000268388	ENSG00000143149	-0.06517465	0.2306796	-0.04711257	0.7401466	-0.05292002	0.5593996	-0.3183776	0.09233218
ENSG00000245694	ENSG00000149925	-0.1809147	0.0008042927	-0.1547084	0.2734693	-0.1159952	0.1995197	0.06613543	0.7332108
ENSG00000245694	ENSG00000109107	-0.09132844	0.09269945	-0.0801125	0.5723698	-0.07121382	0.4318846	0.1227505	0.5258452
ENSG00000251562	ENSG00000109107	-0.04227	0.4372194	0.01163319	0.9347647	-0.05645508	0.5334243	-0.04948617	0.798781
ENSG00000268388	ENSG00000109107	-0.07814588	0.1504817	0.02625618	0.8534132	-0.07568442	0.4034645	-0.1950491	0.3106067
ENSG00000268388	ENSG00000172339	-0.04656503	0.3920426	0.08716533	0.5389182	0.006841369	0.9398872	-0.2648089	0.1650637
ENSG00000255717	ENSG00000091542	0.178106	0.0009722791	0.0990357	0.4848544	0.2619983	0.003287745	0.154501	0.4235731
ENSG00000245694	ENSG00000091542	0.2044485	0.0001469696	0.1821158	0.1962986	0.1515121	0.09299774	0.250716	0.1895788
ENSG00000234350	ENSG00000091542	-0.1099779	0.04270587	-0.09540504	0.5010817	-0.09634588	0.2871134	-0.2941309	0.12144
ENSG00000261889	ENSG00000091542	0.002056515	0.9698626	0.2339119	0.095117	0.1091773	0.2274143	-0.182966	0.3421051
ENSG00000265206	ENSG00000091542	-0.2721762	3.455563e-07	-0.2775074	0.04639306	-0.2713342	0.002301798	-0.1149723	0.5525888
ENSG00000231607	ENSG00000091542	0.1797021	0.000873226	-0.2140185	0.1276322	0.02015148	0.8241992	-0.07089433	0.7147795
ENSG00000268388	ENSG00000198796	-0.0006918248	0.9898594	-0.1312147	0.3538129	-0.04709578	0.6034725	0.08178276	0.6732084
ENSG00000251562	ENSG00000198796	0.08892542	0.1016494	-0.05357167	0.7060316	0.4090308	2.397408e-06	-0.1084813	0.5753772
ENSG00000245694	ENSG00000159461	0.04608772	0.3969192	0.4445965	0.0009595784	0.1186015	0.1895369	0.05163112	0.7902476
ENSG00000245694	ENSG00000101935	0.3900774	8.398096e-14	0.3750756	0.006148259	0.1450111	0.1080704	-0.0616143	0.7508568
ENSG00000251562	ENSG00000114019	0.01559156	0.7745314	-0.1270021	0.3696106	0.2398582	0.007292483	-0.04415787	0.8200754
ENSG00000268388	ENSG00000114019	-0.09431872	0.08245432	0.1907575	0.175542	-0.09420772	0.2979939	0.0946017	0.6254551
ENSG00000245694	ENSG00000133805	0.2497373	3.130799e-06	0.1752749	0.2139238	0.3018152	0.000657689	-0.2132345	0.2667295
ENSG00000251562	ENSG00000133805	0.0708795	0.1923084	-0.2118032	0.1317169	0.2108894	0.01871865	-0.2695834	0.1572936
ENSG00000268388	ENSG00000133805	0.01415553	0.7948122	0.05951959	0.6751136	-0.04251217	0.6392032	-0.07681875	0.6920526
ENSG00000245694	ENSG00000145020	0.1457047	0.007120757	0.1918296	0.1730821	0.1383944	0.1253071	0.2266931	0.2369861
ENSG00000251562	ENSG00000176248	-0.05911797	0.2770289	-0.2698673	0.05301489	-0.1755286	0.05117909	-0.3069477	0.1053124
ENSG00000245532	ENSG00000176248	-0.03630839	0.5046136	0.009045784	0.9492524	-0.1588927	0.07795952	-0.09904708	0.6092232
ENSG00000245694	ENSG00000196510	0.1487778	0.005986173	0.4535053	0.0007343261	0.1185561	0.1897077	-0.2753528	0.1482574
ENSG00000130600	ENSG00000214274	-0.1270528	0.01909787	-0.1621585	0.2507469	-0.1756001	0.05108294	0.0005984398	0.9975418
ENSG00000245532	ENSG00000214274	-0.05581663	0.3047889	-0.08389629	0.5543046	-0.09096931	0.3149848	-0.1557166	0.4198902
ENSG00000245694	ENSG00000214274	0.1796248	0.0008777973	0.1887354	0.1802503	0.2002711	0.02573529	-0.09227646	0.6340148
ENSG00000268388	ENSG00000136859	0.2122859	7.980074e-05	0.0631582	0.6564545	0.08404052	0.3534072	0.1053281	0.5865958
ENSG00000245694	ENSG00000167772	0.02023645	0.7100376	0.2592085	0.06351113	0.1513772	0.09329267	0.09354182	0.6293509
ENSG00000251562	ENSG00000189045	0.02166026	0.6906514	-0.07424745	0.6008951	0.427473	7.356742e-07	-0.02429051	0.900466
ENSG00000245694	ENSG00000185722	0.1355791	0.01233852	0.05597576	0.6934747	0.1559057	0.0837913	-0.002203398	0.9909492
ENSG00000251562	ENSG00000254996	0.4106482	2.901881e-15	0.4805995	0.0003108487	0.6146342	3.122106e-14	0.09700071	0.6166734
ENSG00000268388	ENSG00000176915	-0.09377787	0.08423644	-0.04996412	0.7250199	-0.1083498	0.2309783	-0.1674903	0.3851501
ENSG00000245694	ENSG00000106524	0.2489883	3.358063e-06	0.3301497	0.01683379	0.1020593	0.259353	0.08722031	0.6527868
ENSG00000251562	ENSG00000164331	0.02482858	0.6482457	-0.295053	0.03371523	-0.00971862	0.9146871	-0.4005295	0.03131088
ENSG00000251562	ENSG00000167522	-0.001463434	0.9785514	-0.07996451	0.5730818	0.1140903	0.2070521	-0.4135496	0.02574934
ENSG00000245532	ENSG00000167522	-0.0858505	0.1140854	0.02038209	0.885959	0.09866123	0.2756337	-0.4752147	0.009182723
ENSG00000245532	ENSG00000163126	0.02708551	0.6187067	0.1802466	0.2010086	0.02690379	0.7667662	0.2569378	0.1784617
ENSG00000268388	ENSG00000105186	-0.1585766	0.003369891	-0.1935276	0.1692372	-0.1020843	0.2592352	-0.3250895	0.08529684
ENSG00000245694	ENSG00000198483	0.115408	0.03339558	0.2859266	0.03989436	0.3979482	4.717314e-06	0.4969612	0.006096934
ENSG00000245532	ENSG00000198483	0.0287271	0.5975967	0.08523049	0.5479998	-0.0239383	0.7918541	-0.02069998	0.9151217
ENSG00000245694	ENSG00000186352	0.2802547	1.486081e-07	0.2541132	0.06908561	0.2778338	0.001782631	0.4204317	0.02315244
ENSG00000245694	ENSG00000213337	-0.03300754	0.5441477	0.003930456	0.9779381	-0.08196045	0.3654901	-0.2155113	0.2615351
ENSG00000245694	ENSG00000139645	0.02214298	0.6841236	0.04841483	0.733226	-0.0187213	0.8364954	0.02233178	0.9084574
ENSG00000245694	ENSG00000100124	0.1391266	0.01021623	0.1425629	0.3133553	0.3465215	8.064017e-05	0.0110718	0.9545433
ENSG00000245694	ENSG00000163516	0.3507541	2.805677e-11	0.2650213	0.057598	0.2311246	0.009803144	0.09518855	0.6233022
ENSG00000245694	ENSG00000011426	0.05838001	0.2830802	0.2420212	0.08387773	0.147685	0.1016548	-0.0188482	0.9226912
ENSG00000268388	ENSG00000011426	-0.1625734	0.002641067	-0.1565873	0.2676141	-0.1509422	0.09424856	-0.330139	0.08027917
ENSG00000251562	ENSG00000011426	0.2486973	3.450559e-06	-0.1326548	0.3485087	0.09253229	0.3067074	-0.4603481	0.01197464
